"Name","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","VOMS","VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle Revenue Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train Revenue Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train Revenue Hours","Train Revenue Hours Questionable","Unlinked 
Passenger 
Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable?","...42","...43","...44","1"
"Ventura Intercity Service Transit Authority","Ventura","CA","9164","90164","Independent Public Agency or Authority of Transit Service","Full Reporter",367260,47,NA,0,NA,1604478,NA,2283167,NA,1909054,NA,374113,NA,100541,NA,87453,NA,13088,NA,0,NA,0,NA,0,NA,0,NA,933999,NA,9600427,"W",394.8,NA,"No",NA,NA,NA,NA
"Butte County Association of Governments","Chico","CA","9208","90208","MPO, COG or Other Planning Agency","Full Reporter",98176,47,NA,0,NA,1103727,NA,1685781,NA,1520997,NA,164784,NA,132812,NA,121714,NA,11098,NA,0,NA,0,NA,0,NA,0,NA,1508745,NA,8444491,NA,366.5,NA,"No",NA,NA,NA,NA
"East Texas Council of Governments","Kilgore","TX","6R05-029","6R05-60186","MPO, COG or Other Planning Agency","Rural Reporter",0,47,NA,0,NA,0,NA,0,NA,1091129,NA,0,NA,0,NA,58673,NA,0,NA,0,NA,0,NA,0,NA,0,NA,95172,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Northeast Iowa Community Action Corporation","Decorah","IA","7R01-001","7R01-70195","Private-Non-Profit Corporation","Rural Reporter",0,47,NA,0,NA,0,NA,0,NA,1239849,NA,0,NA,0,NA,100968,NA,0,NA,0,NA,0,NA,0,NA,0,NA,183614,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"City of Macomb","Macomb","IL","5R01-014","5R01-50232","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,46,NA,0,NA,0,NA,0,NA,745303,NA,0,NA,0,NA,65704,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1836648,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Flathead Area IX Agency on Aging","Kalispell","MT","8R02-005","8R02-80220","Area Agency on Aging","Rural Reporter",0,46,NA,0,NA,0,NA,0,NA,300900,NA,0,NA,0,NA,21504,NA,0,NA,0,NA,0,NA,0,NA,0,NA,93707,"Q",0,NA,0,NA,"Yes",NA,NA,NA,NA
"Link Transit","Wenatchee","WA","43","43","Independent Public Agency or Authority of Transit Service","Full Reporter",67227,45,NA,0,NA,1689024,NA,2047030,NA,1918219,NA,128811,NA,105637,NA,98606,NA,7031,NA,0,NA,0,NA,0,NA,0,NA,1063333,NA,12434588,NA,292.3,NA,"No",NA,NA,NA,NA
"Manatee County Area Transit","Bradenton","FL","4026","40026","City, County or Local Government Unit or Department of Transportation","Full Reporter",643260,45,NA,0,NA,1379883,NA,2144802,NA,1966141,NA,178661,NA,158621,NA,140109,NA,18512,NA,0,NA,0,NA,0,NA,0,NA,1862306,NA,8318739,NA,267,NA,"No",NA,NA,NA,NA
"Okaloosa County Board of County Commissioners","Fort Walton Beach","FL","4128","40128","City, County or Local Government Unit or Department of Transportation","Full Reporter",191917,45,NA,0,NA,407416,NA,1271492,"Q",1122913,"Q",148579,NA,85122,"Q",77524,"Q",7598,NA,0,NA,0,NA,0,NA,0,NA,230626,NA,1345702,NA,217,NA,"Yes",NA,NA,NA,NA
"Lower Rio Grande Valley Development Council","Weslaco","TX","6090","60090","MPO, COG or Other Planning Agency","Full Reporter",728825,45,NA,0,NA,1961163,NA,1816681,NA,1661664,NA,155017,NA,95069,NA,86918,NA,8151,NA,0,NA,0,NA,0,NA,0,NA,499318,NA,0,"W",1015.9,NA,"No",NA,NA,NA,NA
"Franklin Regional Transit Authority","Greenfield","MA","1R02-005","1R02-10173","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,45,NA,0,NA,0,NA,0,NA,572871,NA,0,NA,0,NA,37736,NA,0,NA,0,NA,0,NA,0,NA,0,NA,180403,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Chautauqua County","Mayville","NY","2R02-010","2R02-20959","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,45,NA,0,NA,0,NA,0,NA,863781,NA,0,NA,0,NA,62505,NA,0,NA,0,NA,0,NA,0,NA,0,NA,193680,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"District Three Public Transit","Marion","VA","3R06-002","3R06-30123","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,45,NA,0,NA,0,NA,0,NA,552717,NA,0,NA,0,NA,46231,NA,0,NA,0,NA,0,NA,0,NA,0,NA,169600,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Baldwin County Commission","Bay Minette","AL","4R01-005","4R01-40928","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,45,NA,0,NA,0,NA,0,NA,741355,NA,0,NA,0,NA,37492,NA,0,NA,0,NA,0,NA,0,NA,0,NA,331209,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Kern Regional Transit","Bakersfield","CA","9R02-037","9R02-91059","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,45,NA,0,NA,0,NA,0,NA,2283884,NA,0,NA,0,NA,96022,NA,0,NA,0,NA,0,NA,0,NA,0,NA,596902,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Dutchess County Division of Mass Transportation","Poughkeepsie","NY","2010","20010","City, County or Local Government Unit or Department of Transportation","Full Reporter",423566,44,NA,0,NA,909680,NA,1184432,NA,1043867,NA,140565,NA,65373,NA,53102,NA,12271,NA,0,NA,0,NA,0,NA,0,NA,496776,NA,2921886,NA,760,NA,"No",NA,NA,NA,NA
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway","Staten Island","NY","2099","20099","Independent Public Agency or Authority of Transit Service","Full Reporter",18351295,44,NA,0,NA,2583068,NA,2802105,NA,2575713,NA,226392,NA,175164,NA,165378,NA,9786,NA,700526,NA,643928,NA,43797,NA,41341,NA,8557009,NA,53632893,NA,28.6,NA,"No",NA,NA,NA,NA
"Cape Fear Public Transportation Authority","Wilmington","NC","4006","40006","Independent Public Agency or Authority of Transit Service","Full Reporter",219957,44,NA,0,NA,1228510,NA,1793212,NA,1734405,NA,58807,NA,117992,NA,111171,NA,6821,NA,0,NA,0,NA,0,NA,0,NA,1542494,NA,6457603,NA,157.9,NA,"No",NA,NA,NA,NA
"Wiregrass Transit Authority","Dothan","AL","4103","40103","MPO, COG or Other Planning Agency","Full Reporter",68781,44,NA,0,NA,0,NA,1044518,NA,1244830,NA,51160,NA,65070,NA,74736,NA,6051,NA,0,NA,0,NA,0,NA,0,NA,135889,NA,2766913,NA,0,NA,"No",NA,NA,NA,NA
"Jefferson Parish Department of Transit Administration","Gretna","LA","6088","60088","City, County or Local Government Unit or Department of Transportation","Full Reporter",899703,44,NA,0,NA,1370324,NA,1950919,NA,1753680,NA,197239,NA,142605,NA,131537,NA,11068,NA,0,NA,0,NA,0,NA,0,NA,2171067,NA,11306488,NA,207.1,NA,"No",NA,NA,NA,NA
"San Luis Obispo Regional Transit Authority","San Luis Obispo","CA","9206","90206","Independent Public Agency or Authority of Transit Service","Full Reporter",59219,44,NA,0,NA,1332727,NA,2268294,NA,1897869,NA,370425,NA,106700,NA,87936,NA,18764,NA,0,NA,0,NA,0,NA,0,NA,1170714,NA,14466383,NA,518.8,NA,"No",NA,NA,NA,NA
"Williamsburg County Transit System","Kingstree","SC","4R07-020","4R07-40952","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,44,NA,0,NA,0,NA,0,NA,1071225,NA,0,NA,0,NA,68493,NA,0,NA,0,NA,0,NA,0,NA,0,NA,185667,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"North Central Regional Transit District","Espanola","NM","6R03-031","6R03-60138","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,44,NA,0,NA,0,NA,0,NA,1106597,NA,0,NA,0,NA,43804,NA,0,NA,0,NA,0,NA,0,NA,0,NA,197213,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Northern Oklahoma Development Authority","ENID","OK","6R04-007","6R04-60226","Private-Non-Profit Corporation","Rural Reporter",0,44,NA,0,NA,0,NA,0,NA,953674,NA,0,NA,0,NA,46493,NA,0,NA,0,NA,0,NA,0,NA,0,NA,55637,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Human Resource Development Council District IX, Inc.","Bozeman","MT","8R02-021","8R02-80235","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,44,NA,0,NA,0,NA,0,NA,570850,NA,0,NA,0,NA,64660,"Q",0,NA,0,NA,0,NA,0,NA,0,NA,320515,"Q",0,NA,0,NA,"Yes",NA,NA,NA,NA
"Eastern Sierra Transit Authority","Bishop","CA","9R02-098","9R02-91062","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,44,NA,0,NA,0,NA,0,NA,863687,NA,0,NA,0,NA,53477,NA,0,NA,0,NA,0,NA,0,NA,0,NA,975097,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Connecticut Department of Transportation","Newington","CT","1102","10102","State Government Unit or Department of Transportation","Full Reporter",924859,43,NA,0,NA,2331655,NA,2946944,NA,2263394,NA,683550,NA,80665,NA,55744,NA,24921,NA,607000,NA,490316,NA,13360,NA,10953,NA,1116832,NA,26173557,NA,232.1,NA,"No",NA,NA,NA,NA
"Blacksburg Transit","Blacksburg","VA","3091","30091","City, County or Local Government Unit or Department of Transportation","Full Reporter",88542,43,NA,0,NA,783257,NA,1051093,NA,938336,NA,112757,NA,104096,NA,96570,NA,7526,NA,0,NA,0,NA,0,NA,0,NA,3733082,NA,6698527,NA,93,NA,"No",NA,NA,NA,NA
"Santee Wateree Regional Transportation Authority","Sumter","SC","4100","40100","Independent Public Agency or Authority of Transit Service","Full Reporter",73107,43,NA,0,NA,567248,NA,871660,NA,795676,NA,75984,NA,49096,NA,39181,NA,9915,NA,0,NA,0,NA,0,NA,0,NA,207598,NA,2710031,NA,951,NA,"No",NA,NA,NA,NA
"Clermont Transportation Connection","Batavia","OH","5166","50166","City, County or Local Government Unit or Department of Transportation","Full Reporter",1624827,43,NA,0,NA,139713,NA,1361825,NA,1028023,NA,333802,NA,76099,NA,59731,NA,16368,NA,0,NA,0,NA,0,NA,0,NA,146668,NA,1879758,NA,90,NA,"No",NA,NA,NA,NA
"Napa Valley Transportation Authority","Napa","CA","9088","90088","Independent Public Agency or Authority of Transit Service","Full Reporter",83913,43,NA,0,NA,1478945,NA,1868460,NA,1757134,NA,111326,NA,137352,NA,110786,NA,26566,NA,0,NA,0,NA,0,NA,0,NA,941747,NA,8614345,NA,340.6,NA,"No",NA,NA,NA,NA
"New Castle Area Transit Authority","New Castle","PA","3R04-005","3R04-30151","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,43,NA,0,NA,0,NA,0,NA,1109260,NA,0,NA,0,NA,55002,NA,0,NA,0,NA,0,NA,0,NA,0,NA,593430,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Yadkin Valley Economic Development District, Inc.","Boonville","NC","4R06-070","4R06-41134","Private-Non-Profit Corporation","Rural Reporter",0,43,NA,0,NA,0,NA,0,NA,1762625,NA,0,NA,0,NA,101489,NA,0,NA,0,NA,0,NA,0,NA,0,NA,104413,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"West Central Mass Transit District","Jacksonville","IL","5R01-028","5R01-50414","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,43,NA,0,NA,0,NA,0,NA,932876,NA,0,NA,0,NA,54624,NA,0,NA,0,NA,0,NA,0,NA,0,NA,172000,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Inca Community Services, Inc.","Atoka","OK","6R04-003","6R04-60205","Private-Non-Profit Corporation","Rural Reporter",0,43,NA,0,NA,0,NA,0,NA,831394,NA,0,NA,0,NA,48166,NA,0,NA,0,NA,0,NA,0,NA,0,NA,159377,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Connecticut Department of Transportation - CTTRANSIT Stamford Division","Hartford","CT","1056","10056","State Government Unit or Department of Transportation","Full Reporter",923311,42,NA,0,NA,1497236,NA,1567915,NA,1495568,NA,72347,NA,141035,NA,136825,NA,4210,NA,0,NA,0,NA,0,NA,0,NA,3445079,NA,12123288,NA,196,NA,"No",NA,NA,NA,NA
"Howard Transit","Ellicott City","MD","3048","30048","City, County or Local Government Unit or Department of Transportation","Full Reporter",2203663,42,NA,0,NA,1311101,NA,2240205,NA,2047517,NA,271451,NA,137895,NA,125585,NA,18122,NA,0,NA,0,NA,0,NA,0,NA,1159976,NA,10646848,NA,484.5,NA,"No",NA,NA,NA,NA
"Northwest Alabama Council of Local Governments","Muscle Shoals","AL","4068","40068","MPO, COG or Other Planning Agency","Full Reporter",77074,42,NA,0,NA,0,NA,480488,NA,414661,NA,65827,NA,35090,NA,32528,NA,2562,NA,0,NA,0,NA,0,NA,0,NA,95322,NA,914138,NA,0,NA,"No",NA,NA,NA,NA
"Spartanburg Regional Health Services, Inc.","Spartanburg","SC",NA,"40244","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",180786,42,NA,0,NA,0,NA,2039395,NA,1585617,NA,453778,NA,104777,NA,90793,NA,13984,NA,0,NA,0,NA,0,NA,0,NA,141727,NA,2252674,NA,0,NA,"No",NA,NA,NA,NA
"Fort Wayne Public Transportation Corporation","Fort Wayne","IN","5044","50044","Independent Public Agency or Authority of Transit Service","Full Reporter",313492,42,NA,0,NA,1457953,NA,1919364,NA,1790166,"Q",129198,NA,136207,NA,127294,"Q",8913,NA,0,NA,0,NA,0,NA,0,NA,1969599,NA,6931973,"Q",294,NA,"Yes",NA,NA,NA,NA
"City of Rochester Public Transportation","Rochester","MN","5092","50092","City, County or Local Government Unit or Department of Transportation","Full Reporter",107677,42,NA,0,NA,972749,NA,1528630,NA,1356234,NA,172396,NA,100275,NA,87270,NA,13005,NA,0,NA,0,NA,0,NA,0,NA,1746642,NA,6233552,NA,340,NA,"No",NA,NA,NA,NA
"Su Tran LLC dba: Sioux Area Metro","Sioux Falls","SD","8002","80002","Private Provider Reporting on Behalf of a Public Entity","Full Reporter",156777,42,NA,0,NA,750316,NA,1379922,NA,1360872,NA,19050,NA,116088,NA,114887,NA,1201,NA,0,NA,0,NA,0,NA,0,NA,1006502,NA,4749240,NA,191.1,NA,"No",NA,NA,NA,NA
"City of Fairfield - Fairfield and Suisun Transit","Fairfield","CA","9092","90092","City, County or Local Government Unit or Department of Transportation","Full Reporter",133683,42,NA,0,NA,1633828,NA,1997435,NA,1853569,NA,143866,NA,99515,NA,93477,NA,6038,NA,0,NA,0,NA,0,NA,0,NA,1096323,NA,9108935,NA,319.3,NA,"No",NA,NA,NA,NA
"Central Kentucky Community Action Council","Lebanon","KY","4R04-026","4R04-41165","Private-Non-Profit Corporation","Rural Reporter",0,42,NA,27,NA,0,NA,0,NA,1699812,NA,0,NA,0,NA,72541,NA,0,NA,0,NA,0,NA,0,NA,0,NA,126280,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Rogue Valley Transportation District","Medford","OR","34","34","Independent Public Agency or Authority of Transit Service","Full Reporter",154081,41,NA,0,NA,754590,NA,1326650,NA,1257423,NA,69227,NA,92441,NA,88112,NA,4329,NA,0,NA,0,NA,0,NA,0,NA,1367861,NA,7759821,NA,110,NA,"No",NA,NA,NA,NA
"Central Oregon Intergovernmental Council","Bend","OR","57","57","MPO, COG or Other Planning Agency","Full Reporter",83794,41,NA,0,NA,642077,NA,979360,NA,903141,NA,76219,NA,65580,NA,59053,NA,6527,NA,0,NA,0,NA,0,NA,0,NA,604387,NA,3464185,NA,278.9,NA,"No",NA,NA,NA,NA
"City of Waukesha Transit Commission","Waukesha","WI","5096","50096","City, County or Local Government Unit or Department of Transportation","Full Reporter",1376476,41,NA,0,NA,1234511,NA,1555061,NA,1320668,NA,234393,NA,95120,NA,84662,NA,10458,NA,0,NA,0,NA,0,NA,0,NA,1116971,NA,6962635,NA,458.2,NA,"No",NA,NA,NA,NA
"Topeka Metropolitan Transit Authority","Topeka","KS","7014","70014","Independent Public Agency or Authority of Transit Service","Full Reporter",150003,41,NA,0,NA,811591,NA,1087729,NA,1120950,NA,61764,NA,74624,NA,75325,NA,3690,NA,0,NA,0,NA,0,NA,0,NA,1261320,NA,5850888,NA,136.3,NA,"No",NA,NA,NA,NA
"City of Visalia - Visalia City Coach","Visalia","CA","9091","90091","City, County or Local Government Unit or Department of Transportation","Full Reporter",219454,41,NA,0,NA,1672600,NA,1894124,NA,1825808,NA,68316,NA,132217,NA,127601,NA,4616,NA,0,NA,0,NA,0,NA,0,NA,1718155,NA,8900320,NA,435,NA,"No",NA,NA,NA,NA
"Deerfield Valley Transit Association, Inc.","West Dover","VT","1R06-005","1R06-10144","Private-Non-Profit Corporation","Rural Reporter",0,41,NA,0,NA,0,NA,0,NA,345058,NA,0,NA,0,NA,19773,NA,0,NA,0,NA,0,NA,0,NA,0,NA,282828,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Good Wheels, Inc.","Ft. Myers","FL","4R02-042","4R02-40207","Private-Non-Profit Corporation","Rural Reporter",530290,41,NA,0,NA,0,NA,0,NA,967261,NA,0,NA,0,NA,72560,NA,0,NA,0,NA,0,NA,0,NA,0,NA,81983,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"KY River Foothills Development Council, Inc.","Richmond","KY","4R04-022","4R04-40979","Private-Non-Profit Corporation","Rural Reporter",0,41,NA,0,NA,0,NA,0,NA,639000,NA,0,NA,0,NA,50338,NA,0,NA,0,NA,0,NA,0,NA,0,NA,205570,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Isabella County Transportation Commission","Mt. Pleasant","MI","5R03-042","5R03-50244","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,41,NA,0,NA,0,NA,0,NA,1348235,NA,0,NA,0,NA,96873,NA,0,NA,0,NA,0,NA,0,NA,0,NA,606687,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Via Mobility","Boulder","CO","8R01-019","8R01-80285","Private-Non-Profit Corporation","Rural Reporter",0,41,NA,0,NA,0,NA,0,NA,587569,NA,0,NA,0,NA,65962,NA,0,NA,0,NA,0,NA,0,NA,0,NA,136452,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Pennsylvania Department of Transportation","Harrisburg","PA","3057","30057","State Government Unit or Department of Transportation","Full Reporter",5441567,40,NA,0,NA,4254082,NA,4230547,NA,4230547,NA,0,NA,70781,NA,70781,NA,0,NA,846109,NA,846109,NA,14156,NA,14156,NA,1360737,NA,119508127,NA,144.4,NA,"No",NA,NA,NA,NA
"Monroe County Transportation  Authority","Scotrun","PA","3R04-012","30137","Independent Public Agency or Authority of Transit Service","Full Reporter",54316,40,NA,0,NA,508385,NA,1494347,NA,1363601,NA,171969,NA,78349,NA,61392,NA,18255,NA,0,NA,0,NA,0,NA,0,NA,314853,NA,3459326,"W",307.2,NA,"No",NA,NA,NA,NA
"Knoxville-Knox County Community Action Committee","Knoxville","TN","4171","40171","City, County or Local Government Unit or Department of Transportation","Full Reporter",558696,40,NA,0,NA,0,NA,1610470,NA,1435726,NA,174744,NA,77456,NA,67268,NA,10188,NA,0,NA,0,NA,0,NA,0,NA,159464,NA,2038332,NA,0,NA,"No",NA,NA,NA,NA
"University of Michigan Parking and Transportation Services","Ann Arbor","MI","5158","50158","University","Full Reporter",306022,40,NA,0,NA,1078699,NA,1230442,NA,1070328,NA,160114,NA,125450,NA,110279,NA,15171,NA,0,NA,0,NA,0,NA,0,NA,7256729,NA,17809326,NA,20.7,NA,"No",NA,NA,NA,NA
"Fort Bend County Public Transportation","Sugar Land","TX","6103","60103","City, County or Local Government Unit or Department of Transportation","Full Reporter",4944332,40,NA,0,NA,584162,NA,2006912,NA,1620947,NA,385965,NA,93752,NA,76957,NA,16795,NA,0,NA,0,NA,0,NA,0,NA,382742,NA,6716703,"W",175.1,NA,"No",NA,NA,NA,NA
"Alamo Area Council of Governments","San Antonio","TX","6130","60130","City, County or Local Government Unit or Department of Transportation","Full Reporter",1758210,40,NA,0,NA,0,NA,1304779,NA,969085,NA,335694,NA,78962,NA,55929,NA,23033,NA,0,NA,0,NA,0,NA,0,NA,111145,NA,1533260,NA,0,NA,"No",NA,NA,NA,NA
"Solano County Transit","Vallejo","CA","9232","90232","City, County or Local Government Unit or Department of Transportation","Full Reporter",165074,40,NA,0,NA,1645261,NA,1967789,NA,1842875,NA,124914,NA,108368,NA,102124,NA,6244,NA,0,NA,0,NA,0,NA,0,NA,1483826,NA,11187635,NA,449,NA,"No",NA,NA,NA,NA
"Oswego County","Oswego","NY","2R02-035","2R02-20942","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,40,NA,0,NA,0,NA,0,NA,1057582,NA,0,NA,0,NA,53741,NA,0,NA,0,NA,0,NA,0,NA,0,NA,175608,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Endless Mountains Transportation Authority","Athens","PA","3R04-017","3R04-30170","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,40,NA,0,NA,0,NA,0,NA,1553569,NA,0,NA,0,NA,66185,NA,0,NA,0,NA,0,NA,0,NA,0,NA,218047,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"West Alabama Rural Public Transportation","Demopolis","AL",NA,"4R01-44926","Private-Non-Profit Corporation","Rural Reporter",0,40,NA,0,NA,0,NA,0,NA,1129642,NA,0,NA,0,NA,62968,NA,0,NA,0,NA,0,NA,0,NA,0,NA,575101,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Mid-Delta Transit","Helena West Helena","AR","6R01-004","6R01-60136","Private-Non-Profit Corporation","Rural Reporter",0,40,NA,0,NA,0,NA,0,NA,1363853,NA,0,NA,0,NA,59048,NA,0,NA,0,NA,0,NA,0,NA,0,NA,87454,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"10-15 Regional Transit Agency","Ottumwa","IA","7R01-015","7R01-70242","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,40,NA,0,NA,0,NA,0,NA,775217,NA,0,NA,0,NA,43984,NA,0,NA,0,NA,0,NA,0,NA,0,NA,169790,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"OCCK, Inc.","Salina","KS","7R02-033","7R02-70145","Private-Non-Profit Corporation","Rural Reporter",0,40,NA,0,NA,0,NA,0,NA,733628,NA,0,NA,0,NA,47003,NA,0,NA,0,NA,0,NA,0,NA,0,NA,311898,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Tahoe Transportation District","Zephyr Cove","NV","9R02-137","9R02-91092","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,40,NA,0,NA,0,NA,0,NA,763438,NA,0,NA,0,NA,51486,NA,0,NA,0,NA,0,NA,0,NA,0,NA,642589,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Alaska Railroad Corporation","Anchorage","AK","41","41","State Government Unit or Department of Transportation","Full Reporter",251243,39,NA,0,NA,1063975,NA,1061704,NA,1060672,NA,1032,NA,38903,NA,38865,NA,38,NA,176963,NA,176738,NA,6675,NA,6666,NA,178350,NA,21842570,NA,959.9,NA,"No",NA,NA,NA,NA
"Housatonic Area Regional Transit","Danbury","CT","1051","10051","Independent Public Agency or Authority of Transit Service","Full Reporter",168136,39,NA,0,NA,945559,NA,1685769,NA,1506921,NA,178848,NA,98617,NA,89484,NA,9133,NA,0,NA,0,NA,0,NA,0,NA,881062,NA,6858995,NA,302.7,NA,"No",NA,NA,NA,NA
"Belle Urban System - Racine","Racine","WI","5006","50006","City, County or Local Government Unit or Department of Transportation","Full Reporter",133700,39,NA,0,NA,1171261,NA,1377091,NA,1292841,NA,84250,NA,106124,NA,96471,NA,9653,NA,0,NA,0,NA,0,NA,0,NA,1364547,NA,6092407,NA,200.9,NA,"No",NA,NA,NA,NA
"Santa Fe Trails - City of Santa Fe","Santa Fe","NM","6077","60077","City, County or Local Government Unit or Department of Transportation","Full Reporter",89284,39,NA,0,NA,828588,NA,1158517,NA,1088583,NA,69934,NA,107727,NA,100438,NA,7289,NA,0,NA,0,NA,0,NA,0,NA,1139336,NA,4642036,NA,171,NA,"No",NA,NA,NA,NA
"Placer County Department of Public Works and Facilities","Auburn","CA","9196","90196","City, County or Local Government Unit or Department of Transportation","Full Reporter",1723634,39,NA,0,NA,1216611,NA,1750287,NA,1565836,NA,190719,NA,80836,NA,74764,NA,6245,NA,0,NA,0,NA,0,NA,0,NA,785088,NA,8526476,NA,451,NA,"No",NA,NA,NA,NA
"Martha's Vineyard Transit Authority","Edgartown","MA","1R02-003","1R02-10145","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,39,NA,0,NA,0,NA,0,NA,1185001,NA,0,NA,0,NA,71699,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1306704,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Waldo Community Action Partners","Belfast","ME","1R03-013","1R03-10169","Private-Non-Profit Corporation","Rural Reporter",0,39,NA,0,NA,0,NA,0,NA,1087613,NA,0,NA,0,NA,42042,NA,0,NA,0,NA,0,NA,0,NA,0,NA,57097,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"Tri-County Community Council, Inc","Bonifay","FL","4R02-018","4R02-41186","Private-Non-Profit Corporation","Rural Reporter",0,39,NA,0,NA,0,NA,0,NA,1412774,"W",0,NA,0,NA,65142,"W",0,NA,0,NA,0,NA,0,NA,0,NA,59507,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"OSU-Stillwater Community Transit","Stillwater","OK","6R04-014","6R04-60160","University","Rural Reporter",0,39,NA,0,NA,0,NA,0,NA,685835,NA,0,NA,0,NA,46704,NA,0,NA,0,NA,0,NA,0,NA,0,NA,675707,NA,0,NA,0,NA,"No",NA,NA,NA,NA
"County of Atlantic","Northfield","NJ","2199","20199","City, County or Local Government Unit or Department of Transportation","Full Reporter",248402,38,NA,0,NA,0,NA,678371,NA,492525,NA,185846,NA,46852,NA,33548,NA,13304,NA,0,NA,0,NA,0,NA,0,NA,113254,NA,863304,NA,0,NA,"No",NA,NA,NA,NA
"Beaver County Transit Authority","Rochester","PA","3023","30023","Independent Public Agency or Authority of Transit Service","Full Reporter",1733853,38,NA,0,NA,780698,NA,1598458,NA,1262871,NA,335587,NA,88853,NA,78744,NA,10109,NA,0,NA,0,NA,0,NA,0,NA,983820,NA,10522987,NA,160,NA,"No",NA,NA,NA,NA
"City of Harrisonburg Department of Public Transportation","Harrisonburg","VA","3094","30094","City, County or Local Government Unit or Department of Transportation","Full Reporter",66784,38,NA,0,NA,616758,NA,766767,NA,732554,NA,34213,NA,74522,NA,72565,NA,1957,NA,0,NA,0,NA,0,NA,0,NA,2820419,NA,5082028,NA,130,NA,"No",NA,NA,NA,NA
"Fayetteville Area System of Transit","Fayetteville","NC","4009","40009","City, County or Local Government Unit or Department of Transportation","Full Reporter",310282,38,NA,0,NA,1108644,NA,1646864,NA,1550618,NA,96246,NA,125303,NA,115220,NA,10083,NA,0,NA,0,NA,0,NA,0,NA,1637634,NA,7856755,NA,201,NA,"No",NA,NA,NA,NA
