"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modes","mode_names","facility_type","pre1940","_1940s","_1950s","_1960s","_1970s","_1980s","_1990s","_2000s","_2010s","_2020s","total_facilities"
"Central Florida Regional Transportation Authority","Orlando","FL","40035","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65863","Orlando, FL","1853896","550","MB, RB","Bus, Bus Rapid Transit","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","0","0","0","1","0","0","1"
"Central Florida Regional Transportation Authority","Orlando","FL","40035","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65863","Orlando, FL","1853896","550","MB, RB","Bus, Bus Rapid Transit","Vehicle Fueling Facility","0","0","0","0","0","0","0","1","0","0","1"
"Central Florida Regional Transportation Authority","Orlando","FL","40035","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","65863","Orlando, FL","1853896","550","MB, RB","Bus, Bus Rapid Transit","Vehicle Washing Facility","0","0","0","0","0","0","0","1","0","0","1"
"City of Tallahassee, dba: StarMetro","Tallahassee","FL","40036","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","86464","Tallahassee, FL","252934","123","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","1","0","0","0","0","0","1"
"City of Tallahassee, dba: StarMetro","Tallahassee","FL","40036","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","86464","Tallahassee, FL","252934","123","MB","Bus","Bus Transfer Center","0","0","0","0","0","1","0","0","0","0","1"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.","West Palm Beach","FL","40037","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","359","MB","Bus","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.","West Palm Beach","FL","40037","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","359","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","0","0","1"
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","174","DR, MB","Demand Response, Bus","Heavy Maintenance & Overhaul (Backshop)","0","0","0","0","0","1","0","0","0","0","1"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.","West Palm Beach","FL","40037","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","359","MB","Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","1","0","2"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.","West Palm Beach","FL","40037","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","359","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","1","0","0","0","1"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.","West Palm Beach","FL","40037","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","359","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.","West Palm Beach","FL","40037","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","359","MB","Bus","Vehicle Fueling Facility","0","0","0","0","0","0","1","0","0","0","1"
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.","West Palm Beach","FL","40037","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","359","MB","Bus","Vehicle Washing Facility","0","0","0","0","0","0","1","0","1","0","2"
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority","Pensacola","FL","40038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","68482","Pensacola, FL--AL","390172","86","MB","Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority","Pensacola","FL","40038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","68482","Pensacola, FL--AL","390172","86","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","1","0","0","0","0","1"
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority","Pensacola","FL","40038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","68482","Pensacola, FL--AL","390172","86","MB","Bus","Vehicle Fueling Facility","0","0","0","0","0","1","0","0","0","0","1"
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority","Pensacola","FL","40038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","68482","Pensacola, FL--AL","390172","86","MB","Bus","Vehicle Washing Facility","0","0","0","0","0","1","0","0","0","0","1"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","DR","Demand Response","General Purpose Maintenance Facility/Depot","0","0","0","0","1","0","0","0","0","0","1"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","DR, MB","Demand Response, Bus","Surface Parking Lot","0","0","0","0","1","0","0","0","0","0","1"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","FB","Ferryboat","Ferryboat Terminal","0","0","0","2","0","0","0","0","0","0","2"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","FB","Ferryboat","Other, Passenger or Parking (describe in Notes)","0","0","0","3","0","0","0","0","1","0","4"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","MB","Bus","Administrative Office / Sales Office","0","0","1","1","2","1","0","0","4","1","10"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","3","1","5"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","MB","Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","2","0","0","0","0","0","2"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","MB","Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","1","1","0","0","0","0","2"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","MB","Bus","Parking Structure","0","0","0","0","0","0","0","1","0","0","1"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","MB","Bus","Surface Parking Lot","0","0","0","0","0","1","2","2","3","0","8"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","MB, MG","Bus, Monorail/Automated Guideway","Elevated Fixed Guideway Station","0","0","0","0","0","0","1","1","0","0","2"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","MG","Monorail/Automated Guideway","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42346","Jacksonville, FL","1247374","208","MG","Monorail/Automated Guideway","Elevated Fixed Guideway Station","0","0","0","0","0","2","2","2","0","0","6"
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","174","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","1","0","1"
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","174","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","174","DR, MB, SR","Demand Response, Bus, Streetcar Rail","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","174","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","1","5","1","0","7"
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","174","MB","Bus","Parking Structure","0","0","0","0","0","1","0","0","0","0","1"
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","174","MB","Bus","Surface Parking Lot","0","0","0","0","0","1","0","2","0","0","3"
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","174","SR","Streetcar Rail","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","174","SR","Streetcar Rail","Simple At-Grade Platform Station","0","0","0","0","0","0","0","11","0","0","11"
"Birmingham-Jefferson County Transit Authority","Birmingham","AL","40042","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","07786","Birmingham, AL","774956","94","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","0","0","0","0","2","2"
"Birmingham-Jefferson County Transit Authority","Birmingham","AL","40042","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","07786","Birmingham, AL","774956","94","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","1","0","0","0","0","0","0","1"
"Birmingham-Jefferson County Transit Authority","Birmingham","AL","40042","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","07786","Birmingham, AL","774956","94","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","0","1","0","1"
"Birmingham-Jefferson County Transit Authority","Birmingham","AL","40042","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","07786","Birmingham, AL","774956","94","MB","Bus","Other, Passenger or Parking (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM","Mobile","AL","40043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","57925","Mobile, AL","321907","37","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","0","0","1"
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM","Mobile","AL","40043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","57925","Mobile, AL","321907","37","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","1","0","0","0","0","0","1"
"City of Montgomery, dba: The M (Montgomery Area Transit System)","Montgomery","AL","40044","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","58600","Montgomery, AL","254348","25","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"City of Montgomery, dba: The M (Montgomery Area Transit System)","Montgomery","AL","40044","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","58600","Montgomery, AL","254348","25","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","1","1","0","0","2"
"Sarasota County , dba: Sarasota County Area Transit","Sarasota","FL","40046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","09536","Bradenton--Sarasota--Venice, FL","779075","107","DR, MB","Mode Names","Bus Transfer Center","0","0","0","0","0","0","0","3","0","0","3"
"Sarasota County , dba: Sarasota County Area Transit","Sarasota","FL","40046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","09536","Bradenton--Sarasota--Venice, FL","779075","107","DR, MB","Demand Response, Bus","Surface Parking Lot","0","0","0","0","0","0","0","0","1","0","1"
"Sarasota County , dba: Sarasota County Area Transit","Sarasota","FL","40046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","09536","Bradenton--Sarasota--Venice, FL","779075","107","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","0","2","0","2"
"Sarasota County , dba: Sarasota County Area Transit","Sarasota","FL","40046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","09536","Bradenton--Sarasota--Venice, FL","779075","107","MB","Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","2","0","0","0","2"
"Sarasota County , dba: Sarasota County Area Transit","Sarasota","FL","40046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","09536","Bradenton--Sarasota--Venice, FL","779075","107","MB","Bus","Vehicle Washing Facility","0","0","0","0","0","0","1","0","0","0","1"
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department","Athens","GA","40047","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03763","Athens-Clarke County, GA","143213","19","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","0","0","1"
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department","Athens","GA","40047","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03763","Athens-Clarke County, GA","143213","19","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","1","0","0","0","0","0","1"
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department","Athens","GA","40047","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03763","Athens-Clarke County, GA","143213","19","MB","Bus","Surface Parking Lot","0","0","0","0","0","0","0","0","1","0","1"
"Town of Chapel Hill, dba: Chapel Hill Transit","Chapel Hill","NC","40051","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","25228","Durham, NC","396118","88","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Greenville Transit Authority, dba: Greenlink","Greenville","SC","40053","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","35461","Greenville, SC","387271","23","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","1","0","0","0","0","1"
"Greenville Transit Authority, dba: Greenlink","Greenville","SC","40053","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","35461","Greenville, SC","387271","23","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","1","0","0","0","0","1"
"Jackson Transit Authority","Jackson","TN","40057","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42265","Jackson, TN","72809","17","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Jackson Transit Authority","Jackson","TN","40057","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","42265","Jackson, TN","72809","17","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","0","0","1"
"City of Rome , dba: City of Rome Transit Department","Rome","GA","40058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","76204","Rome, GA","60403","12","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","1","0","0","0","0","1"
"City of Rome , dba: City of Rome Transit Department","Rome","GA","40058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","76204","Rome, GA","60403","12","DR, MB","Demand Response, Bus","Vehicle Washing Facility","0","0","0","0","1","0","0","0","0","0","1"
"City of Rome , dba: City of Rome Transit Department","Rome","GA","40058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","76204","Rome, GA","60403","12","MB","Bus","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"City of Rome , dba: City of Rome Transit Department","Rome","GA","40058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","76204","Rome, GA","60403","12","MB","Bus","Bus Transfer Center","0","0","0","0","0","1","0","0","0","0","1"
"Brevard Board of County Commissioners, dba: Space Coast Area Transit","Titusville","FL","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","67105","Palm Bay--Melbourne, FL","510675","86","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Brevard Board of County Commissioners, dba: Space Coast Area Transit","Titusville","FL","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","67105","Palm Bay--Melbourne, FL","510675","86","DR, MB","Demand Response, Bus","General Purpose Maintenance Facility/Depot","0","0","0","0","0","0","1","0","0","0","1"
"Northwest Alabama Council of Local Governments","Muscle Shoals","AL","40068","MPO, COG or Other Planning Agency","Full Reporter","2022","29953","Florence, AL","78925","28",,,,,,,,,,,,,,
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit","Huntsville","AL","40071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","40780","Huntsville, AL","329066","32","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit","Huntsville","AL","40071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","40780","Huntsville, AL","329066","32","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","0","0","1","0","1"
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit","Huntsville","AL","40071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","40780","Huntsville, AL","329066","32","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","0","0","1"
"City of Huntsville, Alabama, dba: Department of Parking & Public Transit","Huntsville","AL","40071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","40780","Huntsville, AL","329066","32","MB","Bus","Other, Passenger or Parking (describe in Notes)","0","0","0","0","0","0","0","1","0","0","1"
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation","New Port Richey","FL","40074","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","42","DR, DT, MB","Demand Response, Demand Taxi, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","1","0","0","0","1"
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation","New Port Richey","FL","40074","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","42","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","0","1","1"
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation","New Port Richey","FL","40074","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","42","DR, MB","Demand Response, Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","1","0","0","0","1"
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation","New Port Richey","FL","40074","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","42","DR, MB","Demand Response, Bus","Vehicle Fueling Facility","0","0","0","0","0","0","0","0","0","1","1"
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation","New Port Richey","FL","40074","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","86599","Tampa--St. Petersburg, FL","2783045","42","DR, MB","Demand Response, Bus","Vehicle Washing Facility","0","0","0","0","0","0","0","0","1","0","1"
"South Florida Regional Transportation Authority","Pompano Beach","FL","40077","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","45","CR, MB","Commuter Rail, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","1","0","1"
"South Florida Regional Transportation Authority","Pompano Beach","FL","40077","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","45","CR, MB","Commuter Rail, Bus","At-Grade Fixed Guideway Station","4","0","0","0","0","7","4","1","2","0","18"
"South Florida Regional Transportation Authority","Pompano Beach","FL","40077","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","45","CR, MB","Commuter Rail, Bus","General Purpose Maintenance Facility/Depot","0","0","1","0","0","0","0","0","0","0","1"
"South Florida Regional Transportation Authority","Pompano Beach","FL","40077","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","45","CR, MB","Commuter Rail, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","1","0","0","0","1"
"South Florida Regional Transportation Authority","Pompano Beach","FL","40077","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","45","CR, MB","Commuter Rail, Bus","Parking Structure","0","0","0","0","0","0","0","0","2","0","2"
"South Florida Regional Transportation Authority","Pompano Beach","FL","40077","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","56602","Miami--Fort Lauderdale, FL","6077522","45","CR, MB","Commuter Rail, Bus","Surface Parking Lot","0","0","0","0","0","1","3","12","1","1","18"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","CB","Commuter Bus","Surface Parking Lot","0","0","0","0","0","0","0","1","0","0","1"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","CB, DR, MB","Commuter Bus, Demand Response, Bus","Bus Transfer Center","0","0","0","0","0","0","1","0","0","0","1"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","CB, DR, MB","Commuter Bus, Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","0","0","0","0","1","0","1"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","CB, DR, MB","Commuter Bus, Demand Response, Bus","Vehicle Fueling Facility","0","0","0","0","0","0","0","1","0","0","1"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","CB, DR, MB","Commuter Bus, Demand Response, Bus","Vehicle Washing Facility","0","0","0","0","0","0","0","0","1","0","1"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","CB, MB","Commuter Bus, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","1","1","0","0","2"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","CB, MB","Commuter Bus, Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","0","0","1"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","CB, MB","Commuter Bus, Bus","Surface Parking Lot","0","0","0","0","0","0","0","2","0","0","2"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","0","1","0","1"
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","73","MB","Bus","Surface Parking Lot","0","0","0","0","0","0","0","2","0","0","2"
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","16","DR, MB","Demand Response, Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","0","0","1","0","1"
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","16","DR, MB","Demand Response, Bus","Other, Administrative & Maintenance (describe in Notes)","0","0","0","0","0","0","0","1","0","1","2"
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","03817","Atlanta, GA","5100112","16","DR, MB","Demand Response, Bus","Surface Parking Lot","0","0","0","0","0","0","0","0","2","0","2"
"Metropolitan Bus Authority","San Juan","PR","40086","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79093","San Juan, PR","1844410","107","DR, MB","Demand Response, Bus","Bus Transfer Center","0","0","0","0","1","0","0","6","2","0","9"
"Metropolitan Bus Authority","San Juan","PR","40086","Independent Public Agency or Authority of Transit Service","Full Reporter","2022","79093","San Juan, PR","1844410","107","DR, MB","Demand Response, Bus","Combined Administrative and Maintenance Facility (describe in Notes)","0","0","0","0","1","0","0","0","0","0","1"
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","25228","Durham, NC","396118","91","DR","Demand Response","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","25228","Durham, NC","396118","91","DR","Demand Response","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","0","1","0","0","1"
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","25228","Durham, NC","396118","91","DR, MB","Demand Response, Bus","Administrative Office / Sales Office","0","0","0","0","0","0","0","1","0","0","1"
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","25228","Durham, NC","396118","91","MB","Bus","Bus Transfer Center","0","0","0","0","0","0","0","1","0","0","1"
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","25228","Durham, NC","396118","91","MB","Bus","Maintenance Facility (Service and Inspection)","0","0","0","0","0","0","0","1","0","0","1"
"City of Greensboro , dba: Greensboro Transit Authority","Greensboro","NC","40093","City, County or Local Government Unit or Department of Transportation","Full Reporter","2022","35164","Greensboro, NC","338928","76","DR, MB","Demand Response, Bus","Bus Transfer Center","1","0","0","0","0","0","0","0","0","0","1"
