"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle  
Revenue  
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train  
Revenue 
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train  
Revenue  
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","0","...65"
"San Diego Metropolitan Transit System","San Diego","CA","9026","90026","Independent Public Agency or Authority of Transit Service","Full Reporter",2956746,691,"MB","DO",225,NA,0,NA,11.8305,NA,5.3201,NA,10.5683,NA,9633886,NA,10950858,NA,9631608,NA,1319250,NA,873847,NA,814134,NA,59713,NA,0,NA,0,NA,0,NA,0,NA,8603980,NA,45773653,NA,428.23,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Diego Metropolitan Transit System","San Diego","CA","9026","90026","Independent Public Agency or Authority of Transit Service","Full Reporter",2956746,691,"LR","DO",96,NA,32,NA,18.1555,NA,6.3223,NA,35.1605,NA,10141046,NA,10242855,NA,10077479,NA,165376,NA,570684,NA,555064,NA,15620,NA,3418750,NA,3363417,NA,190476,NA,185262,NA,19516337,NA,123388853,NA,108.4,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City and County of Honolulu, dba: City & County of Honolulu DTS","Honolulu","HI","9002","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter",802459,683,"DR","TX",79,NA,0,NA,22.4089,NA,7.5098,NA,3.4187,NA,0,NA,0,NA,311573,NA,0,NA,0,NA,13904,NA,0,NA,0,NA,0,NA,0,NA,0,NA,47534,NA,356970,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City and County of Honolulu, dba: City & County of Honolulu DTS","Honolulu","HI","9002","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter",802459,683,"VP","PT",58,NA,0,NA,26.5962,"W",24.0154,NA,6.3642,"W",0,NA,724187,NA,724187,NA,0,NA,27229,NA,27229,"W",0,NA,0,NA,0,NA,0,NA,0,NA,173290,NA,4161627,NA,0,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City and County of Honolulu, dba: City & County of Honolulu DTS","Honolulu","HI","9002","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter",802459,683,"MB","PT",364,NA,0,NA,13.2084,NA,4.3996,NA,21.261,NA,17296440,NA,20143347,NA,17279744,NA,2863603,NA,1451369,NA,1308243,NA,143126,NA,0,NA,0,NA,0,NA,0,NA,27814569,NA,122372662,NA,1071.8,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City and County of Honolulu, dba: City & County of Honolulu DTS","Honolulu","HI","9002","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter",802459,683,"HR","PT",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City and County of Honolulu, dba: City & County of Honolulu DTS","Honolulu","HI","9002","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter",802459,683,"DR","PT",182,NA,0,NA,14.8241,NA,9.0399,NA,1.7452,NA,0,NA,7239748,NA,5769028,NA,1470720,NA,465620,NA,389165,NA,76455,NA,0,NA,0,NA,0,NA,0,NA,679182,NA,6139767,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orange County Transportation Authority","Orange","CA","9036","90036","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,678,"DR","TX",91,NA,0,NA,17.0697,NA,4.7614,NA,4.414,NA,0,NA,0,NA,635179,NA,0,NA,0,NA,37211,NA,0,NA,0,NA,0,NA,0,NA,0,NA,164251,NA,782066,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orange County Transportation Authority","Orange","CA","9036","90036","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,678,"SR","PT",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orange County Transportation Authority","Orange","CA","9036","90036","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,678,"CB","PT",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,101.77,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orange County Transportation Authority","Orange","CA","9036","90036","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,678,"VP","PT",145,NA,0,NA,39.2471,NA,36.8203,NA,4.2095,NA,0,NA,2251604,NA,2251604,NA,0,NA,57370,NA,57370,NA,0,NA,0,NA,0,NA,0,NA,0,NA,241501,NA,8892144,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orange County Transportation Authority","Orange","CA","9036","90036","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,678,"MB","PT",111,NA,0,NA,12.4574,NA,5.124,NA,11.8468,NA,5402304,NA,6743238,NA,5398546,NA,1344692,NA,488982,NA,433359,NA,55623,NA,0,NA,0,NA,0,NA,0,NA,5133898,NA,26306287,NA,912.2,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orange County Transportation Authority","Orange","CA","9036","90036","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,678,"DR","PT",151,NA,0,NA,15.3219,NA,10.4565,NA,1.1667,NA,0,NA,5221034,NA,4222190,NA,998844,NA,346744,NA,275565,NA,71179,NA,0,NA,0,NA,0,NA,0,NA,321495,NA,3361706,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orange County Transportation Authority","Orange","CA","9036","90036","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,678,"CB","DO",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,83.94,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orange County Transportation Authority","Orange","CA","9036","90036","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,678,"MB","DO",180,NA,0,NA,11.4462,NA,4.4135,NA,18.9929,NA,8891743,NA,10400339,NA,8886949,NA,1513390,NA,845734,NA,776409,NA,69325,NA,0,NA,0,NA,0,NA,0,NA,14746224,NA,65082091,NA,650.25,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Access Services","El Monte","CA","9157","90157","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,676,"DR","TX",167,NA,0,NA,30.0484,NA,12.0386,NA,3.117,NA,0,NA,0,NA,5464159,NA,0,NA,0,NA,181845,NA,0,NA,0,NA,0,NA,0,NA,0,NA,566807,NA,6823564,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Access Services","El Monte","CA","9157","90157","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,676,"DR","PT",509,NA,0,NA,18.2882,NA,10.7632,NA,1.4062,NA,0,NA,24274746,NA,20417675,NA,3857071,NA,1410638,NA,1116438,NA,294200,NA,0,NA,0,NA,0,NA,0,NA,1569979,NA,16898073,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Council","Minneapolis","MN","5154","50154","City, County or Local Government Unit or Department of Transportation","Full Reporter",2650890,646,"VP","PT",34,NA,0,NA,42.1153,NA,36.0793,NA,3.4437,NA,0,NA,692123,NA,692123,NA,0,NA,16434,NA,16434,NA,0,NA,0,NA,0,NA,0,NA,0,NA,56594,NA,2041871,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Council","Minneapolis","MN","5154","50154","City, County or Local Government Unit or Department of Transportation","Full Reporter",2650890,646,"MB","PT",59,NA,0,NA,12.767,NA,4.1875,NA,4.8741,NA,2896199,NA,3389417,NA,2852795,NA,536622,NA,240721,NA,223451,NA,17270,NA,0,NA,0,NA,0,NA,0,NA,1089113,NA,4560705,NA,640.58,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metropolitan Council","Minneapolis","MN","5154","50154","City, County or Local Government Unit or Department of Transportation","Full Reporter",2650890,646,"DR","PT",553,NA,0,NA,18.6012,NA,10.2509,NA,1.3844,NA,0,NA,29208091,NA,25916674,NA,3291417,NA,1595303,NA,1393278,NA,202025,NA,0,NA,0,NA,0,NA,0,NA,1928824,NA,19772242,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","6048","60048","Independent Public Agency or Authority of Transit Service","Full Reporter",1362416,605,"YR","PT",12,NA,6,NA,24.4145,NA,11.8463,NA,11.7892,NA,533326,NA,690843,NA,532187,NA,158656,NA,32224,NA,21798,NA,10426,NA,345421,NA,266094,NA,16112,NA,10899,NA,256982,NA,3044287,NA,64.24,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","6048","60048","Independent Public Agency or Authority of Transit Service","Full Reporter",1362416,605,"CB","PT",11,NA,0,NA,23.9126,NA,16.5556,NA,5.5798,NA,198122,NA,349970,NA,196681,NA,153289,NA,14664,NA,8225,NA,6439,NA,0,NA,0,NA,0,NA,0,NA,45894,NA,759804,NA,194.4,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","6048","60048","Independent Public Agency or Authority of Transit Service","Full Reporter",1362416,605,"VP","PT",98,NA,0,NA,55.0468,"W",48.846,NA,5.2628,"W",0,NA,2464994,NA,2464994,NA,0,NA,44780,NA,44780,"W",0,NA,0,NA,0,NA,0,NA,0,NA,235669,NA,11511477,NA,0,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","6048","60048","Independent Public Agency or Authority of Transit Service","Full Reporter",1362416,605,"MB","PT",302,NA,0,NA,11.5396,NA,4.6944,NA,11.9203,NA,15690568,NA,16624014,NA,15285064,NA,1338950,NA,1401839,NA,1324579,NA,77260,NA,0,NA,0,NA,0,NA,0,NA,15789410,NA,74122215,NA,911.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","6048","60048","Independent Public Agency or Authority of Transit Service","Full Reporter",1362416,605,"LR","PT",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","6048","60048","Independent Public Agency or Authority of Transit Service","Full Reporter",1362416,605,"DR","PT",182,NA,0,NA,10.8937,NA,6.5662,NA,1.226,NA,0,NA,5431515,NA,4335557,NA,1095958,NA,463571,NA,397986,NA,65585,NA,0,NA,0,NA,0,NA,0,NA,487924,NA,3203806,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metro Transit","Minneapolis","MN","5027","50027","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",2650890,575,"CR","PT",10,NA,2,NA,43.4722,NA,24.7023,"W",13.8135,NA,159539,NA,160249,NA,158717,NA,1532,NA,3752,NA,3651,NA,101,NA,40270,NA,39885,NA,943,NA,917,NA,50433,NA,1245810,"W",77.9,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metro Transit","Minneapolis","MN","5027","50027","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",2650890,575,"MB","DO",490,NA,0,NA,11.4618,NA,4.2182,"W",12.8407,NA,19889636,NA,23472671,NA,19760032,NA,3712639,NA,1920894,NA,1723985,NA,196909,NA,0,NA,0,NA,0,NA,0,NA,22137142,NA,93379185,"W",2503.51,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metro Transit","Minneapolis","MN","5027","50027","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",2650890,575,"LR","DO",75,NA,23,NA,12.5428,NA,3.9724,"W",28.6051,NA,5044824,NA,4812658,NA,4680138,NA,132520,NA,396687,NA,373134,NA,23553,NA,1693116,NA,1623290,NA,136716,NA,128106,NA,10673554,NA,42399585,"W",44.26,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Florida Regional Transportation Authority","Orlando","FL","4035","40035","Independent Public Agency or Authority of Transit Service","Full Reporter",1510516,558,"VP","PT",146,NA,0,NA,38.713,NA,20.5146,NA,5.09,NA,0,NA,2003630,NA,2003630,NA,0,NA,51756,NA,51756,NA,0,NA,0,NA,0,NA,0,NA,0,NA,263438,NA,5404323,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Florida Regional Transportation Authority","Orlando","FL","4035","40035","Independent Public Agency or Authority of Transit Service","Full Reporter",1510516,558,"MB","PT",13,NA,0,NA,9.4474,NA,5.2024,NA,1.4781,NA,452670,NA,633116,NA,481564,NA,151552,NA,62317,NA,50973,NA,11344,NA,0,NA,0,NA,0,NA,0,NA,75345,NA,391976,NA,324,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Florida Regional Transportation Authority","Orlando","FL","4035","40035","Independent Public Agency or Authority of Transit Service","Full Reporter",1510516,558,"DR","PT",142,NA,0,NA,16.9151,NA,10.7108,NA,1.2431,NA,0,NA,8414166,NA,7214490,NA,1199676,NA,492757,NA,426512,NA,66245,NA,0,NA,0,NA,0,NA,0,NA,530218,NA,5679046,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Florida Regional Transportation Authority","Orlando","FL","4035","40035","Independent Public Agency or Authority of Transit Service","Full Reporter",1510516,558,"RB","DO",11,NA,0,NA,5.8428,NA,0.9972,NA,9.8,NA,275153,NA,295269,NA,272192,NA,23077,NA,48943,NA,46586,NA,2357,NA,0,NA,0,NA,0,NA,0,NA,456542,NA,455249,NA,8.96,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Florida Regional Transportation Authority","Orlando","FL","4035","40035","Independent Public Agency or Authority of Transit Service","Full Reporter",1510516,558,"MB","DO",246,NA,0,NA,13.6548,NA,5.3018,NA,12.0249,NA,14670511,NA,16034495,NA,14540639,NA,1493856,NA,1144040,NA,1064873,NA,79167,NA,0,NA,0,NA,0,NA,0,NA,12804988,NA,67889660,NA,1386.28,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware Transit Corporation","Dover","DE","3075","30075","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,547,"DR","DO",270,NA,0,NA,16.7215,NA,10.7291,NA,1.529,NA,0,NA,5872208,NA,4646116,NA,1226092,NA,349777,NA,277853,NA,71924,NA,0,NA,0,NA,0,NA,0,NA,424844,NA,4558205,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware Transit Corporation","Dover","DE","3075","30075","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,547,"CR","PT",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware Transit Corporation","Dover","DE","3075","30075","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,547,"MB","PT",55,NA,0,NA,17.3221,NA,9.7474,NA,3.7831,NA,1735314,NA,1866070,NA,1706576,NA,159494,NA,105478,NA,98520,NA,6958,NA,0,NA,0,NA,0,NA,0,NA,372713,NA,3632979,NA,582.6,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware Transit Corporation","Dover","DE","3075","30075","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,547,"DR","PT",29,NA,0,NA,15.5427,NA,9.636,NA,1.5913,NA,0,NA,357862,NA,298373,NA,59489,NA,22905,NA,19197,NA,3708,NA,0,NA,0,NA,0,NA,0,NA,30548,NA,294360,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware Transit Corporation","Dover","DE","3075","30075","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,547,"MB","DO",193,NA,0,NA,15.9494,NA,5.6318,NA,9.518,NA,7421278,NA,8062575,NA,7293100,NA,769475,NA,494004,NA,457264,NA,36740,NA,0,NA,0,NA,0,NA,0,NA,4352217,NA,24510978,NA,1455.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Phoenix Public Transit Department , dba: Valley Metro","Phoenix","AZ","9032","90032","City, County or Local Government Unit or Department of Transportation","Full Reporter",3629114,542,"DR","PT",121,NA,0,NA,12.5295,NA,8.228,NA,1.1779,NA,0,NA,3505037,NA,2909732,NA,595305,NA,278393,NA,232231,NA,46162,NA,0,NA,0,NA,0,NA,0,NA,273545,NA,2250736,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Phoenix Public Transit Department , dba: Valley Metro","Phoenix","AZ","9032","90032","City, County or Local Government Unit or Department of Transportation","Full Reporter",3629114,542,"MB","PT",421,NA,0,NA,11.5939,NA,3.5075,NA,22.0799,NA,20408268,NA,24441949,NA,20170874,NA,4271075,NA,1939632,NA,1739780,NA,199852,NA,0,NA,0,NA,0,NA,0,NA,38414123,NA,134736627,NA,1615,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Regional Transportation Commission of Southern Nevada","Las Vegas","NV","9045","90045","Independent Public Agency or Authority of Transit Service","Full Reporter",1886011,523,"MB","PT",230,NA,0,NA,12.6434,NA,3.9646,NA,26.4352,NA,17057968,NA,17258711,NA,15987654,NA,1271057,NA,1303150,NA,1264503,NA,38647,NA,0,NA,0,NA,0,NA,0,NA,33427338,NA,132526233,NA,1062.78,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Regional Transportation Commission of Southern Nevada","Las Vegas","NV","9045","90045","Independent Public Agency or Authority of Transit Service","Full Reporter",1886011,523,"DR","PT",293,NA,0,NA,15.4609,NA,9.3758,NA,1.6071,NA,0,NA,9971030,NA,8803134,NA,1167896,NA,695047,NA,569381,NA,125666,NA,0,NA,0,NA,0,NA,0,NA,915073,NA,8579540,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Clara Valley Transportation Authority","San Jose","CA","9013","90013","Independent Public Agency or Authority of Transit Service","Full Reporter",1664496,515,"MB","PT",12,NA,0,NA,9.6884,NA,4.4978,NA,2.0126,NA,143995,NA,143167,NA,130222,NA,12945,NA,14779,NA,13441,NA,1338,NA,0,NA,0,NA,0,NA,0,NA,27051,NA,121670,NA,91.7,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Clara Valley Transportation Authority","San Jose","CA","9013","90013","Independent Public Agency or Authority of Transit Service","Full Reporter",1664496,515,"DR","PT",138,NA,0,NA,12.4113,NA,8.0802,NA,1.0535,NA,0,NA,2983352,NA,2041268,NA,942084,NA,296059,NA,164469,NA,131590,NA,0,NA,0,NA,0,NA,0,NA,173267,NA,1400037,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Clara Valley Transportation Authority","San Jose","CA","9013","90013","Independent Public Agency or Authority of Transit Service","Full Reporter",1664496,515,"MB","DO",319,NA,0,NA,11.57,NA,5.0038,NA,9.2736,NA,12089005,NA,13919332,NA,12086143,NA,1833189,NA,1109170,NA,1044611,NA,64559,NA,0,NA,0,NA,0,NA,0,NA,9687282,NA,48473110,NA,1439.04,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Clara Valley Transportation Authority","San Jose","CA","9013","90013","Independent Public Agency or Authority of Transit Service","Full Reporter",1664496,515,"LR","DO",46,NA,29,NA,13.1063,NA,6.4439,NA,10.0354,NA,3039188,NA,3037317,NA,2831553,NA,205764,NA,230690,NA,216045,NA,14645,NA,1523018,NA,1419244,NA,113185,NA,107335,NA,2168096,NA,13970922,NA,80.96,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Clara Valley Transportation Authority","San Jose","CA","9013","90013","Independent Public Agency or Authority of Transit Service","Full Reporter",1664496,515,"HR","DO",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Francisco Bay Area Rapid Transit District","Oakland","CA","9003","90003","Independent Public Agency or Authority of Transit Service","Full Reporter",3281212,512,"DR","PT",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Francisco Bay Area Rapid Transit District","Oakland","CA","9003","90003","Independent Public Agency or Authority of Transit Service","Full Reporter",3281212,512,"MG","PT",2,NA,2,NA,11.9086,NA,3.18,NA,6.3405,NA,240667,NA,215504,NA,212199,NA,3305,NA,17979,NA,17819,NA,160,NA,215504,NA,212199,NA,17979,NA,17819,NA,112981,NA,359280,NA,6.36,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Francisco Bay Area Rapid Transit District","Oakland","CA","9003","90003","Independent Public Agency or Authority of Transit Service","Full Reporter",3281212,512,"YR","DO",14,NA,2,NA,24.3312,NA,6.8555,NA,14.9839,NA,1026546,NA,989982,NA,976607,NA,13375,NA,40646,NA,40138,NA,508,NA,260057,NA,256487,NA,11365,NA,11221,NA,601424,NA,4123073,NA,17.32,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Francisco Bay Area Rapid Transit District","Oakland","CA","9003","90003","Independent Public Agency or Authority of Transit Service","Full Reporter",3281212,512,"HR","DO",496,NA,48,NA,29.7534,NA,13.6516,NA,10.3747,NA,49525758,NA,51357890,NA,49113169,NA,2244721,NA,1737074,NA,1650674,NA,86400,NA,5454828,NA,5210283,NA,185344,NA,176454,NA,17125273,NA,233787844,NA,239.42,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","29","29","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,505,"CB","PT",50,NA,0,NA,26.6695,NA,18.5357,NA,8.7348,NA,956420,NA,2153065,NA,959250,NA,1193815,NA,75578,NA,35968,NA,39610,NA,0,NA,0,NA,0,NA,0,NA,314172,NA,5823405,NA,181.19,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","29","29","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,505,"DR","PT",36,NA,0,NA,17.234,NA,9.7523,NA,1.6705,NA,0,NA,1168416,NA,877538,NA,290878,NA,68377,NA,50919,NA,17458,NA,0,NA,0,NA,0,NA,0,NA,85059,NA,829521,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","29","29","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,505,"CB","DO",46,NA,0,NA,22.2915,NA,15.5185,NA,6.9883,NA,786709,NA,1638859,NA,788159,NA,850700,NA,68208,NA,35357,NA,32851,NA,0,NA,0,NA,0,NA,0,NA,247087,NA,3834420,NA,322.74,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","29","29","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,505,"VP","DO",262,NA,0,NA,32.6718,NA,22.9924,NA,4.7052,NA,0,NA,1582130,NA,1582130,NA,0,NA,48425,NA,48425,NA,0,NA,0,NA,0,NA,0,NA,0,NA,227847,NA,5238760,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snohomish County Public Transportation Benefit Area Corporation","Everett","WA","29","29","Independent Public Agency or Authority of Transit Service","Full Reporter",3059393,505,"MB","DO",111,NA,0,NA,14.329,NA,6.1409,NA,9.0824,NA,6311973,NA,7379794,NA,6311028,NA,1068766,NA,477459,NA,440436,NA,37023,NA,0,NA,0,NA,0,NA,0,NA,4000232,NA,24564872,NA,630.02,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
