"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA Population","Agency Voms","Modes","Facility Type","Pre1940","1940's","1950's","1960's","1970's","1980's","1990's","2000's","2010's","2020's","Total Facilities"
"Mashantucket Pequot Tribal Nation","Mashantucket","CT","1T03","11152","Tribe","Reduced Reporter",0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Peter Pan Bus Lines","Springfield","MA",NA,"11160","Private-For-Profit Corporation","Reduced Reporter",4181019,8,"CB","Bus Transfer Center",0,0,0,1,0,3,2,0,1,0,7
"Peter Pan Bus Lines","Springfield","MA",NA,"11160","Private-For-Profit Corporation","Reduced Reporter",4181019,8,"CB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"Peter Pan Bus Lines","Springfield","MA",NA,"11160","Private-For-Profit Corporation","Reduced Reporter",4181019,8,"CB","Maintenance Facility (Service and Inspection)",0,0,0,1,0,0,0,1,0,0,2
"Bay State Cruise Company, dba: 08/31/1998",NA,"MA",NA,"11238","Private-For-Profit Corporation","Full Reporter",246695,2,"FB","Ferryboat Terminal",0,0,0,0,0,0,0,1,1,0,2
"Hyannis Harbor Tours, Inc.","Hyannis","MA",NA,"11239","Private-For-Profit Corporation","Full Reporter",246695,4,"FB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,1,0,0,0,0,0,1
"Hyannis Harbor Tours, Inc.","Hyannis","MA",NA,"11239","Private-For-Profit Corporation","Full Reporter",246695,4,"FB","Ferryboat Terminal",0,0,0,0,0,0,1,1,1,0,3
"Northwestern CT Transit District","Torrington","CT","1R01-004","1R01-10131","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,13,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Northeastern Connecticut Transit District","Dayville","CT","1R01-003","1R01-10156","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Ability Beyond Disability, Inc.","Bethel","CT",NA,"1R01-11176","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Ashford","Ashford","CT",NA,"1R01-11177","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Woodbridge","Woodbridge","CT",NA,"1R01-11178","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Wolcott","Wolcott","CT",NA,"1R01-11179","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Windsor Locks","Windsor Locks","CT",NA,"1R01-11180","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Windsor","Windsor","CT",NA,"1R01-11181","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Watertown","Watertown","CT",NA,"1R01-11182","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Waterford","Waterford","CT",NA,"1R01-11183","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Trumbull","Trumbull","CT",NA,"1R01-11184","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Suffield","Suffield","CT",NA,"1R01-11185","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Stratford Senior Services","Stratford","CT",NA,"1R01-11186","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Stafford","Stafford","CT",NA,"1R01-11187","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Sprague","Baltic","CT",NA,"1R01-11188","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Southbury","Southbury","CT",NA,"1R01-11189","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of South Windsor","South Windsor","CT",NA,"1R01-11190","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Somers","Somers","CT",NA,"1R01-11191","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Simsbury","Simsbury","CT",NA,"1R01-11192","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Sherman","Sherman","CT",NA,"1R01-11193","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Roxbury","Roxbury","CT",NA,"1R01-11194","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Rocky Hill","Rocky Hill","CT",NA,"1R01-11195","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Prospect","Prospect","CT",NA,"1R01-11196","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Plainville","Plainville","CT",NA,"1R01-11197","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Orange","Orange","CT",NA,"1R01-11198","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of New Milford","New Milford","CT",NA,"1R01-11199","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Montville","Uncasville","CT",NA,"1R01-11200","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Middlebury","Middlebury","CT",NA,"1R01-11201","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Marlborough","Marlborough","CT",NA,"1R01-11202","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Mansfield","Storrs","CT",NA,"1R01-11203","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Manchester","Manchester","CT",NA,"1R01-11204","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Litchfield","Litchfield","CT",NA,"1R01-11205","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Ledyard","Ledyard","CT",NA,"1R01-11206","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Hebron","Hebron","CT",NA,"1R01-11207","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Groton","Groton","CT",NA,"1R01-11208","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Griswold","Griswold","CT",NA,"1R01-11209","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Goshen (CT)","Goshen","CT",NA,"1R01-11210","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Glastonbury","Glastonbury","CT",NA,"1R01-11211","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Farmington","Farmington","CT",NA,"1R01-11212","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Enfield","Enfield","CT",NA,"1R01-11213","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of East Windsor","East Windsor","CT",NA,"1R01-11214","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Cromwell","Cromwell","CT",NA,"1R01-11215","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Colchester","Colchester","CT",NA,"1R01-11216","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Cheshire","Cheshire","CT",NA,"1R01-11217","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Canton","Canton","CT",NA,"1R01-11218","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Beacon Falls","Beacon Falls","CT",NA,"1R01-11219","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Avon (CT)","Avon","CT",NA,"1R01-11220","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"City of Torrington - Sullivan Senior Center","Torrington","CT",NA,"1R01-11221","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Sunrise Northeast, Inc.","Hartford","CT",NA,"1R01-11222","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Transportation Assoc. of Greenwich","Riverside","CT",NA,"1R01-11223","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"The Wheels Program of New Milford","New Milford","CT",NA,"1R01-11224","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"The Arc of Litchfield County, Inc","Torrington","CT",NA,"1R01-11225","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Sphere, Inc","Ridgefield","CT",NA,"1R01-11226","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Norwalk Senior Center","Norwalk","CT",NA,"1R01-11227","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Hockanum Valley Community Council","Vernon","CT",NA,"1R01-11228","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Geer Nursing & Rehabilitation Center","Canaan","CT",NA,"1R01-11229","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Martha's Vineyard Transit Authority","Edgartown","MA","1R02-003","1R02-10145","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,24,"DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,0,0,1,0,0,1
"Martha's Vineyard Transit Authority","Edgartown","MA","1R02-003","1R02-10145","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,24,"MB","Bus Transfer Center",1,0,0,0,0,0,0,0,0,0,1
"Nantucket Regional Transit Authority","Nantucket","MA","1R02-004","1R02-10162","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,16,"DR, MB","Administrative Office / Sales Office",1,0,0,0,0,0,1,0,0,0,2
"Nantucket Regional Transit Authority","Nantucket","MA","1R02-004","1R02-10162","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,16,"DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,0,1,0,0,0,1
"Franklin Regional Transit Authority","Greenfield","MA","1R02-005","1R02-10173","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,30,"DR, MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,0,1,0,1
"Franklin Regional Transit Authority","Greenfield","MA","1R02-005","1R02-10173","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,30,"DR, MB","Other, Administrative & Maintenance (describe in Notes)",1,0,0,0,0,0,0,0,0,0,1
"Aroostook Regional Transportation Systems, Inc.","Presque Isle","ME","1R03-001","1R03-10142","Private-Non-Profit Corporation","Rural Reporter",0,24,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"City of Bath","Bath","ME","1R03-014","1R03-10152","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Cranberry Isles","Islesford","ME","1R03-027","1R03-10153","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,"FB","Ferryboat Terminal",0,0,0,1,1,1,1,0,0,0,4
"Kennebec Valley Community Action Program","Waterville","ME","1R03-005","1R03-10155","Private-Non-Profit Corporation","Rural Reporter",0,47,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Isle au Haut Boat Services","Stonington","ME","1R03-020","1R03-10167","Private-Non-Profit Corporation","Rural Reporter",0,2,"FB","Ferryboat Terminal",1,0,0,1,0,0,0,0,1,0,3
"Waldo Community Action Partners","Belfast","ME","1R03-013","1R03-10169","Private-Non-Profit Corporation","Rural Reporter",0,30,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Downeast Transportation, Inc.","Trenton","ME","1R03-011","1R03-10175","Private-Non-Profit Corporation","Rural Reporter",0,32,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"West's Transportation, Inc.","Milbridge","ME","1R03-008","1R03-10177","Private-For-Profit Corporation","Rural Reporter",0,7,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Downeast Community Partners, Inc.","Ellsworth","ME",NA,"1R03-11161","Private-Non-Profit Corporation","Rural Reporter",0,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Maine State Ferry Service","Augusta","ME",NA,"1R03-11235","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,7,"FB","Ferryboat Terminal",0,0,1,0,0,0,3,3,0,0,7
"Advance Transit, Inc. NH","White River Junction","VT","1R04-001","1R04-10137","Private-Non-Profit Corporation","Rural Reporter",0,19,"DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,0,0,1,0,0,1
"VNA Home Healthcare, Hospice & Community Service","Keene","NH","1R04-004","1R04-10159","Private-Non-Profit Corporation","Rural Reporter",0,6,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Belknap-Merrimack CAP/Concord Area Transit","Concord","NH","1R04-005","1R04-10161","Private-Non-Profit Corporation","Rural Reporter",0,11,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Tri-County CAP, Inc./Carroll County Transit","Berlin","NH","1R04-011","1R04-10170","Private-Non-Profit Corporation","Rural Reporter",0,3,"DR","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,1,0,0,0,0,0,0,1
"Tri-County CAP, Inc./North Country Transit","Berlin","NH","1R04-002","1R04-10172","Private-Non-Profit Corporation","Rural Reporter",0,7,"DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,1,0,0,0,0,0,0,1
"Southwestern Community Services Transportation","Keene","NH",NA,"1R04-11156","Private-Non-Profit Corporation","Rural Reporter",0,6,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Community Action Program of Strafford County","Dover","NH",NA,"1R04-11162","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Behavioral Health & Developmental Services , dba: Community Partners","Dover","NH",NA,"1R04-11163","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Easter Seals Special Transit Service","Manchester","NH",NA,"1R04-11164","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Genesis Behavioral Health , dba: Lakes Region Mental Health Center","Laconia","NH",NA,"1R04-11165","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Grafton County Senior Citizens Council, Inc.","Lebanon","NH",NA,"1R04-11166","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Granite State Independent Living","Concord","NH",NA,"1R04-11168","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Monadnock Adult Care Center","Keene","NH",NA,"1R04-11173","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Southern NH Services","Manchester","NH",NA,"1R04-11175","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"NHDOT Assets","Concord","NH",NA,"1R04-11236","State Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,"CB","Administrative Office / Sales Office",0,0,0,0,0,0,0,1,0,0,1
"NHDOT Assets","Concord","NH",NA,"1R04-11236","State Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,"CB","Bus Transfer Center",0,0,0,0,0,0,1,4,1,0,6
"NHDOT Assets","Concord","NH",NA,"1R04-11236","State Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,"CB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,1,0,0,1
"Rockingham Nutrition Meals on Wheels","Brentwood","NH",NA,"1R04-11243","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Advance Transit, Inc. NH","White River Junction","VT","1R04-001","1R06-10137","Private-Non-Profit Corporation","Rural Reporter",0,8,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Tri-Valley Transit Inc","Middlebury","VT","1R06-001","1R06-10143","Private-Non-Profit Corporation","Rural Reporter",0,77,"CB, DR, MB","Administrative Office / Sales Office",0,0,0,0,0,0,1,0,0,0,1
"Tri-Valley Transit Inc","Middlebury","VT","1R06-001","1R06-10143","Private-Non-Profit Corporation","Rural Reporter",0,77,"CB, DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,0,0,0,1,0,1
"Tri-Valley Transit Inc","Middlebury","VT","1R06-001","1R06-10143","Private-Non-Profit Corporation","Rural Reporter",0,77,"CB, DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,1,0,0,0,1
"Southeast Vermont Transit, Inc","Wilmington","VT","1R06-005","1R06-10144","Private-Non-Profit Corporation","Rural Reporter",0,66,"CB, DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,0,0,1,1,0,2
"Rural Community Transportation","Lyndonville","VT","1R06-010","1R06-10148","Private-Non-Profit Corporation","Rural Reporter",0,82,"CB, DR, DR, MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,1,0,0,1
"Green Mountain Community Network","Bennington","VT","1R06-014","1R06-10151","Private-Non-Profit Corporation","Rural Reporter",0,28,"DR, MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,0,1,0,1
"Marble Valley Regional Transit District","Rutland","VT","1R06-008","1R06-10154","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,72,"CB, DR, MB","Administrative Office / Sales Office",0,0,0,0,0,1,0,0,0,0,1
"Marble Valley Regional Transit District","Rutland","VT","1R06-008","1R06-10154","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,72,"CB, DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,1,0,0,0,2
"Vermont Association for the Blind and Visually Impaired","South Burlington","VT","1R06-012","1R06-10174","Private-Non-Profit Corporation","Rural Reporter",0,16,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Capital District Transportation Authority","Albany","NY","2002","20002","Independent Public Agency or Authority of Transit Service","Full Reporter",594962,293,"CB, DR, MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,0,1,0,1
"Capital District Transportation Authority","Albany","NY","2002","20002","Independent Public Agency or Authority of Transit Service","Full Reporter",594962,293,"CB, DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,2,1,0,0,0,3
"Capital District Transportation Authority","Albany","NY","2002","20002","Independent Public Agency or Authority of Transit Service","Full Reporter",594962,293,"MB","At-Grade Fixed Guideway Station",0,0,1,0,0,0,0,1,0,0,2
"Broome County, dba: Department of Transportation/BC Transit","Binghamton","NY","2003","20003","City, County or Local Government Unit or Department of Transportation","Full Reporter",158084,52,"DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"Broome County, dba: Department of Transportation/BC Transit","Binghamton","NY","2003","20003","City, County or Local Government Unit or Department of Transportation","Full Reporter",158084,52,"MB","Bus Transfer Center",0,0,0,0,0,0,0,0,1,0,1
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,345,"DR, LR, MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,345,"DR, MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,1,0,0,0,0,1
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,345,"LR","General Purpose Maintenance Facility/Depot",0,0,0,0,0,1,0,0,0,0,1
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,345,"LR","Simple At-Grade Platform Station",0,0,0,0,0,6,0,3,2,0,11
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,345,"LR","Underground Fixed Guideway Station",0,0,0,0,0,8,0,0,0,0,8
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,345,"MB","Bus Transfer Center",0,0,0,0,1,0,4,3,1,0,9
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,345,"MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,1,1,0,0,0,2
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,345,"MB","Other, Administrative & Maintenance (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"Niagara Frontier Transportation Authority","Buffalo","NY","2004","20004","Independent Public Agency or Authority of Transit Service","Full Reporter",935906,345,"MB","Other, Passenger or Parking (describe in Notes)",0,0,0,0,0,0,1,3,0,0,4
"Chemung County, dba: C TRAN","Elmira","NY","2005","20005","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",67983,24,"DR, MB","Combined Administrative and Maintenance Facility (describe in Notes)",0,0,0,0,0,1,0,0,0,0,1
"Chemung County, dba: C TRAN","Elmira","NY","2005","20005","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",67983,24,"MB","Bus Transfer Center",0,0,0,0,0,0,1,0,0,0,1
"City of Long Beach","Long Beach","NY","2006","20006","City, County or Local Government Unit or Department of Transportation","Full Reporter",18351295,7,"DR, MB","Maintenance Facility (Service and Inspection)",0,1,0,0,0,0,0,0,0,0,1
"City of Long Beach","Long Beach","NY","2006","20006","City, County or Local Government Unit or Department of Transportation","Full Reporter",18351295,7,"MB","Bus Transfer Center",0,0,0,0,0,0,0,1,0,0,1
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"CB, MB","General Purpose Maintenance Facility/Depot",0,0,2,0,1,1,0,0,2,0,6
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"CB, MB","Heavy Maintenance & Overhaul (Backshop)",1,2,0,0,0,0,0,2,0,0,5
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"CB, MB","Other, Administrative & Maintenance (describe in Notes)",0,1,0,0,0,2,0,0,0,0,3
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","Administrative Office / Sales Office",5,0,0,0,0,0,0,0,0,0,5
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","At-Grade Fixed Guideway Station",10,5,3,0,0,3,7,3,6,0,37
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","Elevated Fixed Guideway Station",34,0,0,0,0,8,21,51,40,0,154
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","General Purpose Maintenance Facility/Depot",1,0,0,0,1,0,0,0,0,0,2
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","Heavy Maintenance & Overhaul (Backshop)",7,1,0,0,0,2,0,0,0,0,10
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","Maintenance Facility (Service and Inspection)",11,1,0,0,0,1,0,1,1,0,15
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","Other, Administrative & Maintenance (describe in Notes)",13,5,3,1,2,4,1,4,0,0,33
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","Underground Fixed Guideway Station",133,7,1,4,2,17,52,55,10,0,281
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR","Vehicle Washing Facility",0,0,0,1,0,1,3,1,2,0,8
"MTA New York City Transit","Brooklyn","NY","2008","20008","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter",18351295,10075,"HR, MB","Administrative Office / Sales Office",0,0,0,0,0,0,1,0,0,0,1
