"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","NTD Reporter Type","Primary UZA Population","Agency VOMS","Mode","Type of Service","Mode VOMS","Mode VOMS Questionable","Max Trains in Operation","Max Trains in Operation Questionable","Average Speed (mi/hr)","Average Speed (mi/hr) Questionable","Average Passenger Trip Length (mi)","Average Passenger Trip Length (mi) Questionable","Passengers per Hour","Passengers per Hour Questionable","Scheduled Vehicle Revenue Miles","Scheduled Vehicle Revenue Miles Questionable","Vehicle Miles","Vehicle Miles Questionable","Vehicle Revenue Miles","Vehicle Revenue Miles Questionable","Deadhead Miles","Deadhead Miles Questionable","Vehicle Hours","Vehicle Hours Questionable","Vehicle  
Revenue  
Hours","Vehicle Revenue Hours Questionable","Deadhead Hours","Deadhead Hours Questionable","Train Miles","Train Miles Questionable","Train  
Revenue 
Miles","Train Revenue Miles Questionable","Train Hours","Train Hours Questionable","Train  
Revenue  
Hours","Train Revenue Hours Questionable","Unlinked Passenger Trips","Unlinked Passenger Trips Questionable","Passenger Miles","Passenger Miles Questionable","Directional Route Miles","Directional Route Miles Questionable","Any data questionable","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","1"
"Southern California Regional Rail Authority, dba: Metrolink","Los Angeles","CA","9151","90151","Independent Public Agency or Authority of Transit Service","Full Reporter",12150996,195,"CR","PT",195,NA,40,NA,36.2446,NA,32.4698,NA,34.2212,NA,13623235,NA,13879151,NA,13582288,NA,296863,NA,413932,NA,374740,NA,39192,NA,2862981,NA,2793126,NA,85135,NA,76448,NA,12824059,NA,416394626,NA,826.8,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater Dayton Regional Transit Authority","Dayton","OH","5017","50017","Independent Public Agency or Authority of Transit Service","Full Reporter",724091,194,"MB","DO",117,NA,0,NA,15.1698,NA,6.4013,"W",20.1045,"W",5382802,NA,5682931,NA,5392288,NA,290643,NA,372391,NA,355462,NA,16929,NA,0,NA,0,NA,0,NA,0,NA,7146375,"W",45746274,"W",692.47,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater Dayton Regional Transit Authority","Dayton","OH","5017","50017","Independent Public Agency or Authority of Transit Service","Full Reporter",724091,194,"DR","DO",51,NA,0,NA,12.7929,NA,8.7279,NA,1.5485,NA,0,NA,2080548,NA,1841978,NA,238570,NA,160037,NA,143984,NA,16053,NA,0,NA,0,NA,0,NA,0,NA,222955,NA,1945931,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater Dayton Regional Transit Authority","Dayton","OH","5017","50017","Independent Public Agency or Authority of Transit Service","Full Reporter",724091,194,"TB","DO",26,NA,0,NA,10.7872,NA,4.122,"W",26.5265,"W",832871,NA,854029,NA,832545,NA,21484,NA,79606,NA,77179,NA,2427,NA,0,NA,0,NA,0,NA,0,NA,2047285,"W",8439011,"W",125.66,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Albuquerque, dba: ABQRIDE","Albuquerque","NM","6019","60019","City, County or Local Government Unit or Department of Transportation","Full Reporter",741318,193,"MB","DO",131,NA,0,NA,13.2324,NA,3.537,NA,22.6587,NA,5356537,NA,6340013,NA,5349145,NA,990868,NA,432913,NA,404246,NA,28667,NA,0,NA,0,NA,0,NA,0,NA,9159709,NA,32397888,NA,705.1,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Albuquerque, dba: ABQRIDE","Albuquerque","NM","6019","60019","City, County or Local Government Unit or Department of Transportation","Full Reporter",741318,193,"DR","DO",62,NA,0,NA,17.2274,NA,9.6479,NA,2.1421,NA,0,NA,2396643,NA,2080934,NA,315709,NA,135985,NA,120792,NA,15193,NA,0,NA,0,NA,0,NA,0,NA,258750,NA,2496391,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KI BOIS Community Action Foundation, Inc.","Stigler","OK","6R04-010","6R04-60172","Private-Non-Profit Corporation","Rural Reporter",0,190,"DR","DO",190,NA,0,NA,16.3162,NA,0,NA,2.3162,NA,0,NA,0,NA,4485131,NA,0,NA,0,NA,274889,NA,0,NA,0,NA,0,NA,0,NA,0,NA,636691,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of El Paso, dba: Sun Metro","El Paso","TX","6006","60006","City, County or Local Government Unit or Department of Transportation","Full Reporter",803086,190,"SR","DO",4,NA,4,NA,7.0197,NA,1.54,"W",20.4981,"W",77019,NA,77747,NA,76290,NA,1457,NA,13808,NA,10868,NA,2940,NA,77747,NA,76290,NA,13808,NA,10868,NA,222773,"W",343070,"W",4.8,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of El Paso, dba: Sun Metro","El Paso","TX","6006","60006","City, County or Local Government Unit or Department of Transportation","Full Reporter",803086,190,"MB","DO",125,NA,0,NA,13.3633,NA,6.7252,NA,22.1378,NA,6625372,NA,7496914,NA,6621733,NA,875181,NA,560889,NA,495518,NA,65371,NA,0,NA,0,NA,0,NA,0,NA,10969703,NA,73773488,NA,718.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of El Paso, dba: Sun Metro","El Paso","TX","6006","60006","City, County or Local Government Unit or Department of Transportation","Full Reporter",803086,190,"DR","PT",61,NA,0,NA,16.4187,NA,9.4172,NA,2.0093,NA,0,NA,3069647,NA,2626202,NA,443445,NA,179109,NA,159952,NA,19157,NA,0,NA,0,NA,0,NA,0,NA,321393,NA,3026610,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penquis Community Action Program","Bangor","ME","1R03-006","10134","Private-Non-Profit Corporation","Reduced Reporter",61210,188,"DR","DO",188,NA,0,NA,29.9133,NA,0,NA,1.6191,NA,0,NA,0,NA,5807157,NA,0,NA,0,NA,194133,NA,0,NA,0,NA,0,NA,0,NA,0,NA,314314,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Mountain Transit Authority","Burlington","VT","1066","10066","Independent Public Agency or Authority of Transit Service","Full Reporter",108740,184,"DR","PT",62,NA,0,NA,14.1174,NA,9.3044,"W",2.0032,NA,0,NA,691391,"W",556820,NA,134571,NA,45411,NA,39442,NA,5969,NA,0,NA,0,NA,0,NA,0,NA,79009,NA,735132,"W",0,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Mountain Transit Authority","Burlington","VT","1066","10066","Independent Public Agency or Authority of Transit Service","Full Reporter",108740,184,"DR","DO",46,NA,0,NA,27.0843,"W",11.2,NA,2.0792,NA,0,NA,1251808,"W",1039470,"W",212338,NA,44497,NA,38379,NA,6118,NA,0,NA,0,NA,0,NA,0,NA,79796,NA,893715,NA,0,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Mountain Transit Authority","Burlington","VT","1066","10066","Independent Public Agency or Authority of Transit Service","Full Reporter",108740,184,"CB","DO",20,NA,0,NA,31.0812,NA,21.9852,"W",9.9219,NA,753694,NA,843785,NA,753501,NA,90284,NA,29535,NA,24243,NA,5292,NA,0,NA,0,NA,0,NA,0,NA,240536,NA,5288242,"W",716.5,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital Area Transportation Authority","Lansing","MI","5036","50036","Independent Public Agency or Authority of Transit Service","Full Reporter",313532,184,"MB","DO",87,NA,0,NA,12.351,NA,2.8364,NA,36.905,NA,3478450,NA,3786627,NA,3532612,NA,254015,NA,299943,NA,286019,NA,13924,NA,0,NA,0,NA,0,NA,0,NA,10555526,NA,29940174,NA,398.7,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital Area Transportation Authority","Lansing","MI","5036","50036","Independent Public Agency or Authority of Transit Service","Full Reporter",313532,184,"DR","PT",63,NA,0,NA,16.8626,NA,8.499,NA,2.4348,NA,0,NA,2897737,NA,2435906,NA,461831,NA,171104,NA,144456,NA,26648,NA,0,NA,0,NA,0,NA,0,NA,351727,NA,2989311,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital Area Transportation Authority","Lansing","MI","5036","50036","Independent Public Agency or Authority of Transit Service","Full Reporter",313532,184,"DR","DO",34,NA,0,NA,13.2399,NA,6.0258,NA,2.479,NA,0,NA,918255,NA,758820,NA,159435,NA,69978,NA,57313,NA,12665,NA,0,NA,0,NA,0,NA,0,NA,142077,NA,856126,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Mountain Transit Authority","Burlington","VT","1066","10066","Independent Public Agency or Authority of Transit Service","Full Reporter",108740,184,"MB","DO",56,NA,0,NA,13.8693,NA,2.8293,"W",22.1862,NA,1528511,NA,1820905,NA,1527629,NA,293276,NA,131559,NA,110145,NA,21414,NA,0,NA,0,NA,0,NA,0,NA,2443703,NA,6914037,"W",352.6,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Central Transit Authority","Lancaster","PA",NA,"30202","Independent Public Agency or Authority of Transit Service","Full Reporter",402004,182,"MB","DO",76,NA,0,NA,12.7793,NA,4.415,NA,18.465,NA,3144235,NA,3283908,NA,3138121,NA,145787,NA,255480,NA,245563,NA,9917,NA,0,NA,0,NA,0,NA,0,NA,4534323,NA,20019031,NA,736,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Central Transit Authority","Lancaster","PA",NA,"30202","Independent Public Agency or Authority of Transit Service","Full Reporter",402004,182,"DR","PT",71,NA,0,NA,16.2422,NA,11.7477,NA,2.2995,NA,0,NA,2940588,NA,2402855,NA,537733,NA,186554,NA,147939,NA,38615,NA,0,NA,0,NA,0,NA,0,NA,340182,NA,3996361,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Central Transit Authority","Lancaster","PA",NA,"30202","Independent Public Agency or Authority of Transit Service","Full Reporter",402004,182,"DR","DO",35,NA,0,NA,13.5956,NA,6.2897,NA,3.3184,NA,0,NA,830340,NA,728288,NA,102052,NA,60912,NA,53568,NA,7344,NA,0,NA,0,NA,0,NA,0,NA,177759,NA,1118056,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clark County Public Transportation Benefit Area Authority","Vancouver","WA","24","24","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,181,"VP","DO",23,NA,0,NA,32.3945,NA,27.2083,NA,4.8047,NA,0,NA,275580,NA,275580,NA,0,NA,8507,NA,8507,NA,0,NA,0,NA,0,NA,0,NA,0,NA,40874,NA,1112113,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clark County Public Transportation Benefit Area Authority","Vancouver","WA","24","24","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,181,"MB","DO",106,NA,0,NA,14.2704,NA,4.9363,NA,21.5624,NA,3968382,NA,4756154,NA,3964173,NA,791981,NA,308621,NA,277789,NA,30832,NA,0,NA,0,NA,0,NA,0,NA,5989797,NA,29567198,NA,419.15,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clark County Public Transportation Benefit Area Authority","Vancouver","WA","24","24","Independent Public Agency or Authority of Transit Service","Full Reporter",1849898,181,"DR","DO",52,NA,0,NA,17.0874,NA,7.3688,NA,2.7295,NA,0,NA,1821491,NA,1655133,NA,166358,NA,105791,NA,96863,NA,8928,NA,0,NA,0,NA,0,NA,0,NA,264391,NA,1948246,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,177,"MB","PT",10,NA,0,NA,10.9178,NA,4.4231,NA,10.3739,NA,167436,NA,207597,NA,167283,NA,40314,NA,16957,NA,15322,NA,1635,NA,0,NA,0,NA,0,NA,0,NA,158949,NA,703055,NA,70.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,177,"MB","DO",45,NA,0,NA,12.3476,NA,4.5582,"W",20.0782,"W",2004270,NA,2142715,NA,1999383,NA,143332,NA,168565,NA,161925,NA,6640,NA,0,NA,0,NA,0,NA,0,NA,3251159,"W",14819330,"W",133.2,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,177,"DR","PT",40,NA,0,NA,12.7332,NA,6.3185,NA,2.0771,NA,0,NA,922854,NA,805845,NA,117009,NA,79552,NA,63287,NA,16265,NA,0,NA,0,NA,0,NA,0,NA,131456,NA,830601,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Municipality of Anchorage, dba: Public Transportation","Anchorage","AK","12","12","City, County or Local Government Unit or Department of Transportation","Full Reporter",251243,177,"VP","PT",82,NA,0,NA,39.7478,NA,40.8166,NA,5.6311,NA,0,NA,1474126,NA,1474126,NA,0,NA,37087,NA,37087,NA,0,NA,0,NA,0,NA,0,NA,0,NA,208840,NA,8524142,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rural Transit Enterprises Coordinated, Inc.","Mt. Vernon","KY","4R04-019","4R04-40941","Private-Non-Profit Corporation","Rural Reporter",0,176,"MB","DO",2,NA,0,NA,13.631,NA,0,NA,0.4231,NA,0,NA,0,NA,25449,NA,0,NA,0,NA,1867,NA,0,NA,0,NA,0,NA,0,NA,0,NA,790,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rural Transit Enterprises Coordinated, Inc.","Mt. Vernon","KY","4R04-019","4R04-40941","Private-Non-Profit Corporation","Rural Reporter",0,176,"DR","DO",174,NA,0,NA,19.7625,NA,0,NA,2.0744,NA,0,NA,0,NA,5767481,NA,0,NA,0,NA,291840,NA,0,NA,0,NA,0,NA,0,NA,0,NA,605390,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Orleans Regional Transit Authority","New Orleans","LA","6032","60032","Independent Public Agency or Authority of Transit Service","Full Reporter",899703,173,"SR","PT",31,NA,31,NA,5.7894,NA,2.33,NA,30.4079,NA,1209327,NA,1030103,NA,1007038,NA,23065,NA,182264,NA,173946,NA,8318,NA,1030103,NA,1007038,NA,182264,NA,173946,NA,5289326,NA,12324130,NA,26.88,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Orleans Regional Transit Authority","New Orleans","LA","6032","60032","Independent Public Agency or Authority of Transit Service","Full Reporter",899703,173,"MB","PT",97,NA,0,NA,12.5041,NA,3.7311,NA,20.5817,NA,6064558,NA,6387732,NA,6046851,NA,340881,NA,509940,NA,483591,NA,26349,NA,0,NA,0,NA,0,NA,0,NA,9953139,NA,37136172,NA,688,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Orleans Regional Transit Authority","New Orleans","LA","6032","60032","Independent Public Agency or Authority of Transit Service","Full Reporter",899703,173,"FB","PT",2,NA,0,NA,1.9647,NA,0.5,NA,102.5548,NA,22263,NA,16187,NA,16187,NA,0,NA,8239,NA,8239,NA,0,NA,0,NA,0,NA,0,NA,0,NA,844949,NA,422475,NA,2,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Orleans Regional Transit Authority","New Orleans","LA","6032","60032","Independent Public Agency or Authority of Transit Service","Full Reporter",899703,173,"DR","PT",43,NA,0,NA,9.7368,NA,7.6243,NA,1.871,NA,0,NA,1371137,NA,1192731,NA,178406,NA,146933,NA,122497,NA,24436,NA,0,NA,0,NA,0,NA,0,NA,229195,NA,1747460,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lehigh and Northampton Transportation Authority","Allentown","PA","3010","30010","Independent Public Agency or Authority of Transit Service","Full Reporter",664651,171,"MB","PT",1,NA,0,NA,14.3753,NA,5.9544,NA,2.4341,NA,28236,NA,37249,NA,26393,NA,10856,NA,2435,NA,1836,NA,599,NA,0,NA,0,NA,0,NA,0,NA,4469,NA,26610,NA,4.8,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lehigh and Northampton Transportation Authority","Allentown","PA","3010","30010","Independent Public Agency or Authority of Transit Service","Full Reporter",664651,171,"MB","DO",76,NA,0,NA,12.7205,NA,5.44,NA,18.1515,NA,3071652,NA,3308471,NA,3061461,NA,247010,NA,276297,NA,240672,NA,35625,NA,0,NA,0,NA,0,NA,0,NA,4368566,NA,23764999,NA,403.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lehigh and Northampton Transportation Authority","Allentown","PA","3010","30010","Independent Public Agency or Authority of Transit Service","Full Reporter",664651,171,"DR","PT",94,NA,0,NA,15.792,NA,10.8951,NA,2.4131,NA,0,NA,3041514,NA,2352889,NA,688625,NA,186415,NA,148992,NA,37423,NA,0,NA,0,NA,0,NA,0,NA,359535,NA,3917166,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"County of Volusia, dba: VOTRAN","South Daytona","FL","4032","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter",349064,168,"VP","PT",12,NA,0,NA,43.9554,NA,51.3529,NA,3.7466,NA,0,NA,262941,NA,262941,NA,0,NA,5982,NA,5982,NA,0,NA,0,NA,0,NA,0,NA,0,NA,22412,NA,1150922,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"County of Volusia, dba: VOTRAN","South Daytona","FL","4032","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter",349064,168,"MB","DO",64,NA,0,NA,15.5676,NA,4.2,NA,15.572,NA,3165249,NA,3387310,NA,3149536,NA,237774,NA,220881,NA,202313,NA,18568,NA,0,NA,0,NA,0,NA,0,NA,3150416,NA,13231747,NA,629.9,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"County of Volusia, dba: VOTRAN","South Daytona","FL","4032","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter",349064,168,"DT","PT",7,NA,0,NA,17.2543,NA,8.689,NA,2.3822,NA,0,NA,0,NA,101490,NA,0,NA,0,NA,5882,NA,0,NA,0,NA,0,NA,0,NA,0,NA,14012,NA,121750,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"County of Volusia, dba: VOTRAN","South Daytona","FL","4032","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter",349064,168,"DR","PT",16,NA,0,NA,13.5459,NA,7.3269,NA,2.0204,NA,0,NA,473327,NA,423146,NA,50181,NA,33804,NA,31238,NA,2566,NA,0,NA,0,NA,0,NA,0,NA,63112,NA,462418,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"County of Volusia, dba: VOTRAN","South Daytona","FL","4032","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter",349064,168,"DR","DO",69,NA,0,NA,14.7998,NA,9.255,NA,1.7977,NA,0,NA,2379156,NA,1998660,NA,380496,NA,166117,NA,135046,NA,31071,NA,0,NA,0,NA,0,NA,0,NA,242773,NA,2246876,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast Missouri Transportation, Inc.","Fredericktown","TX","7R03-029","7R03-70091","Private-Non-Profit Corporation","Rural Reporter",0,167,"DR","DO",167,NA,0,NA,18.8479,NA,0,NA,1.6273,NA,0,NA,0,NA,3629861,NA,0,NA,0,NA,192587,NA,0,NA,0,NA,0,NA,0,NA,0,NA,313392,NA,0,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Gainesville, FL, dba: Regional Transit System","Gainesville","FL","4030","40030","City, County or Local Government Unit or Department of Transportation","Full Reporter",187781,165,"VP","PT",14,NA,0,NA,46.7576,NA,43.1301,NA,8.1308,NA,0,NA,281247,NA,281247,NA,0,NA,6015,NA,6015,NA,0,NA,0,NA,0,NA,0,NA,0,NA,48907,NA,2109364,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Gainesville, FL, dba: Regional Transit System","Gainesville","FL","4030","40030","City, County or Local Government Unit or Department of Transportation","Full Reporter",187781,165,"MB","DO",116,NA,0,NA,12.2249,NA,2.6585,NA,29.2418,NA,3884572,NA,3987761,NA,3825060,NA,162701,NA,326369,NA,312890,NA,13479,NA,0,NA,0,NA,0,NA,0,NA,9149481,NA,24323730,NA,253.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Gainesville, FL, dba: Regional Transit System","Gainesville","FL","4030","40030","City, County or Local Government Unit or Department of Transportation","Full Reporter",187781,165,"DR","PT",35,NA,0,NA,15.5845,NA,9.141,NA,1.5151,NA,0,NA,687043,NA,583437,NA,103606,NA,43822,NA,37437,NA,6385,NA,0,NA,0,NA,0,NA,0,NA,56719,NA,518468,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Research Triangle Park","NC","4108","40108","Independent Public Agency or Authority of Transit Service","Full Reporter",347602,164,"VP","PT",29,NA,0,NA,34.3108,NA,31.9769,NA,6.087,NA,0,NA,127396,NA,127396,NA,0,NA,3713,NA,3713,NA,0,NA,0,NA,0,NA,0,NA,0,NA,22601,NA,722710,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Research Triangle Park","NC","4108","40108","Independent Public Agency or Authority of Transit Service","Full Reporter",347602,164,"VP","DO",46,NA,0,NA,33.2675,NA,26.2449,NA,9.2954,NA,0,NA,504236,NA,504236,NA,0,NA,15157,NA,15157,NA,0,NA,0,NA,0,NA,0,NA,0,NA,140891,NA,3697670,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Research Triangle Park","NC","4108","40108","Independent Public Agency or Authority of Transit Service","Full Reporter",347602,164,"MB","PT",13,NA,0,NA,22.1442,NA,12.0121,"W",9.0666,NA,432102,NA,514105,NA,421116,NA,92989,NA,24332,NA,19017,NA,5315,NA,0,NA,0,NA,0,NA,0,NA,172419,NA,2071122,"W",103,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Research Triangle Park","NC","4108","40108","Independent Public Agency or Authority of Transit Service","Full Reporter",347602,164,"MB","DO",58,NA,0,NA,19.2959,NA,11.2343,"W",11.7354,NA,2466829,NA,3136827,NA,2437457,NA,699370,NA,145862,NA,126320,NA,19542,NA,0,NA,0,NA,0,NA,0,NA,1482417,NA,16653863,"W",338,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Research Triangle Park","NC","4108","40108","Independent Public Agency or Authority of Transit Service","Full Reporter",347602,164,"DR","DO",18,NA,0,NA,21.5305,NA,15.8064,NA,2.3808,NA,0,NA,752425,NA,593229,NA,159196,NA,35334,NA,27553,NA,7781,NA,0,NA,0,NA,0,NA,0,NA,65598,NA,1036867,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hudson Transit Lines, Inc.","Mahwah","NJ","2126","20126","Private-For-Profit Corporation","Full Reporter",18351295,161,"CB","DO",161,NA,0,NA,44.8726,NA,45.5176,"Q",18.4574,NA,9873959,NA,10123645,NA,9873939,NA,249706,NA,227498,NA,220044,NA,7454,NA,0,NA,0,NA,0,NA,0,NA,4061438,NA,184866906,"Q",1714.9,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Fresno, dba: Fresno Area Express","Fresno","CA","9027","90027","City, County or Local Government Unit or Department of Transportation","Full Reporter",654628,158,"MB","DO",102,NA,0,NA,11.5762,NA,2.84,NA,26.1858,NA,4844414,NA,4974799,NA,4663991,NA,310808,NA,415135,NA,402895,NA,12240,NA,0,NA,0,NA,0,NA,0,NA,10550142,NA,29962427,NA,426.15,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"City of Fresno, dba: Fresno Area Express","Fresno","CA","9027","90027","City, County or Local Government Unit or Department of Transportation","Full Reporter",654628,158,"DR","PT",56,NA,0,NA,11.6537,NA,7.2825,NA,2.117,NA,0,NA,1346441,NA,1213011,NA,133430,NA,115177,NA,104088,NA,11089,NA,0,NA,0,NA,0,NA,0,NA,220351,NA,1604698,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater Hartford Transit District","Hartford","CT","1017","10017","Independent Public Agency or Authority of Transit Service","Full Reporter",924859,153,"DR","PT",153,NA,0,NA,14.9694,NA,9.2722,NA,1.7819,NA,0,NA,5526932,NA,4313272,NA,1213660,NA,371949,NA,288140,NA,83809,NA,0,NA,0,NA,0,NA,0,NA,513438,NA,4760716,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tampa Bay Area Regional Transit Authority","Tampa","FL","4200","40200","Independent Public Agency or Authority of Transit Service","Full Reporter",2441770,150,"VP","PT",150,NA,0,NA,32.0319,NA,31.5492,NA,4.4033,NA,0,NA,2136627,NA,2136627,NA,0,NA,66703,NA,66703,NA,0,NA,0,NA,0,NA,0,NA,0,NA,293714,NA,9266431,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","9016","90016","Independent Public Agency or Authority of Transit Service","Full Reporter",3281212,147,"FB","DO",6,NA,0,NA,13.8316,NA,10.8222,NA,164.1768,NA,208537,NA,238245,NA,208111,NA,30134,NA,16716,NA,15046,NA,1670,NA,0,NA,0,NA,0,NA,0,NA,2470204,NA,26733103,NA,41.3,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
