"Agency","City","State","Legacy NTD ID","NTD ID","Organization Type","Reporter Type","Primary UZA Population","Agency Voms","Modes","Facility Type","Pre1940","1940's","1950's","1960's","1970's","1980's","1990's","2000's","2010's","2020's","Total Facilities"
"SeaStreak, LLC",NA,"NJ",NA,"20226","Private-For-Profit Corporation","Full Reporter",18351295,6,"FB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,0,1,0,1
"Seneca Nation of Indians","Salamanca","NY","2T02","22929","Tribe","Reduced Reporter",0,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"New York City Economic Development Corporation","New York","NY",NA,"22930","Private-Non-Profit Corporation","Full Reporter",18351295,29,"FB","Ferryboat Terminal",0,0,0,0,0,0,0,0,21,0,21
"New York City Economic Development Corporation","New York","NY",NA,"22930","Private-Non-Profit Corporation","Full Reporter",18351295,29,"FB","Parking Structure",0,0,0,0,0,0,0,0,1,0,1
"Middlesex County","New Brunswick","NJ","2196","2R01-20196","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Meadowlands Transportation Brokerage Corporation, dba: EZ Ride","Wood-Ridge","NJ","2197","2R01-20197","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,"DR, MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,1,0,0,1
"Essex County","Newark","NJ","2202","2R01-20202","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Warren County","Belvidere","NJ","2R01-014","2R01-20928","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,24,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Monmouth County Division of Transportation","Freehold","NJ","2R01-009","2R01-20933","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,14,"DR","Combined Administrative and Maintenance Facility",0,0,0,0,1,0,0,0,0,0,1
"Monmouth County Division of Transportation","Freehold","NJ","2R01-009","2R01-20933","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,14,"DR","Other, Passenger or Parking",0,0,0,0,0,0,0,0,1,0,1
"Salem County","Salem","NJ","2R01-015","2R01-20944","Area Agency on Aging","Rural Reporter",0,15,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Sussex County Transit, dba: Skylands Ride","Newton","NJ","2R01-013","2R01-20950","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,27,"DR, MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,0,1,0,1
"Bayonne Economic Opportunity Foundation","Bayonne","NJ",NA,"2R01-22931","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Borough of Carteret","Carteret","NJ",NA,"2R01-22932","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Borough of Cliffside Park Housing Authority","Cliffside Park","NJ",NA,"2R01-22933","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Borough of Roselle Park","Roselle Park","NJ",NA,"2R01-22934","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"City of Margate (NJ)","Margate","NJ",NA,"2R01-22936","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"City of Passaic","Passaic","NJ",NA,"2R01-22937","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"County of Passaic","Wayne","NJ",NA,"2R01-22938","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"City of Plainfield","Plainfield","NJ",NA,"2R01-22939","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"City of Pleasantville","Pleasantville","NJ",NA,"2R01-22940","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"County of Ocean","Toms River","NJ",NA,"2R01-22941","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"County of Union","Elizabeth","NJ",NA,"2R01-22942","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Long Beach Island Community Center Inc.","Brant Beach","NJ",NA,"2R01-22943","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"The Greater Mercer Transportation Management Association, Inc.","Princeton","NJ",NA,"2R01-22944","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Kearny","Kearny","NJ",NA,"2R01-22945","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Cranford","Cranford","NJ",NA,"2R01-22946","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Nutley","Nutley","NJ",NA,"2R01-22948","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of South Brunswick","Monmouth Junction","NJ",NA,"2R01-22949","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Union","Union","NJ",NA,"2R01-22951","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Secaucus","Secaucus","NJ",NA,"2R01-22952","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Bloomfield","Bloomfield","NJ",NA,"2R01-22953","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Cherry Hill","Cherry Hill","NJ",NA,"2R01-22954","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Edison","Edison","NJ",NA,"2R01-22955","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Ewing","Ewing","NJ",NA,"2R01-22956","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Jefferson","Lake Hopatcong","NJ",NA,"2R01-22957","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Mahwah, Inc.","Mahwah","NJ",NA,"2R01-22958","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Monroe","Monroe Township","NJ",NA,"2R01-22959","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of North Bergen Inc.","North Bergen","NJ",NA,"2R01-22960","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Pemberton","Pemberton","NJ",NA,"2R01-22961","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Pequannock","Pompton Plains","NJ",NA,"2R01-22962","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Teaneck","Teaneck","NJ",NA,"2R01-22963","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Washington","Turnersville","NJ",NA,"2R01-22964","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Borough of Fairview","Fairview","NJ",NA,"2R01-22965","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Borough of Fort Lee","Fort Lee","NJ",NA,"2R01-22966","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Borough of Sayreville, Inc.","Sayreville","NJ",NA,"2R01-22967","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"City of Paterson","Paterson","NJ",NA,"2R01-22968","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"County of Hudson","Jersey City","NJ",NA,"2R01-22969","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Lakewood Township","Lakewood","NJ",NA,"2R01-22970","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Mid-Atlantic States Career and Education Center Inc.","Pennsville","NJ",NA,"2R01-22971","Private-Non-Profit Corporation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Princeton","Princeton","NJ",NA,"2R01-22972","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"The Township of South Orange Village Inc.","South Orange","NJ",NA,"2R01-22973","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Brick","Brick","NJ",NA,"2R01-22974","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Livingston","Livingston","NJ",NA,"2R01-22975","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Township of Long Beach","Brant Beach","NJ",NA,"2R01-22976","City, County or Local Government Unit or Department of Transportation","Reduced Asset Reporter",0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Lewis County","Lowville","NY","2R02-072","2R02-20925","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,11,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Schoharie County Public Transportation","Schoharie","NY","2R02-039","2R02-20926","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,8,"CB, DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Greene County","Catskill","NY","2R02-029","2R02-20931","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,8,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Essex County Department of Community Development","Elizabethtown","NY","2R02-014","2R02-20932","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,11,"MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"Orleans Transit Service","Albion","NY","2R02-034","2R02-20934","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,6,"MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,0,1,0,1
"Chenango County","Norwich","NY","2R02-017","2R02-20935","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,19,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Sullivan County Transportation","Monticello","NY","2R02-042","2R02-20937","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,"MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,0,1,0,1
"RTS Seneca","Rochester","NY","2R02-016","2R02-20938","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,8,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Clinton County","Plattsburgh","NY","2R02-018","2R02-20939","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,7,"DR, MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,1,0,0,1
"Madison County","Wampsville","NY","2R02-056","2R02-20940","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,7,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"City of Corning","Corning","NY","2R02-019","2R02-20941","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,6,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Oswego County","Oswego","NY","2R02-035","2R02-20942","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,16,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Schuyler County","Watkins Glen","NY","2R02-073","2R02-20945","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,6,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"First Transit - Steuben","Elmira","NY","2R02-022","2R02-20946","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"RTS Genesee","Rochester","NY","2R02-058","2R02-20947","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Allegany County","Belmont","NY","2R02-015","2R02-20951","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,6,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Montgomery County","Fonda","NY","2R02-057","2R02-20952","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Hornell Area Transit","Hornell","NY","2R02-026","2R02-20953","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,11,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Goshen","Goshen","NY","2R02-044","2R02-20954","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"County of Niagara","Lockport","NY","2R02-031","2R02-20957","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,4,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Cortland County","Cortland","NY","2R02-055","2R02-20958","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,16,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Chautauqua County","Mayville","NY","2R02-010","2R02-20959","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,26,"DR, MB","Combined Administrative and Maintenance Facility",0,0,1,0,0,0,0,0,0,0,1
"City of Oneonta","Oneonta","NY","2R02-053","2R02-20960","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,15,"CB, DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,1,0,0,0,1
"RTS Livingston","Rochester","NY","2R02-030","2R02-20962","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,16,"MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,0,1,0,0,1
"Fulton County","Johnstown","NY","2R02-028","2R02-20964","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"RTS Ontario","Rochester","NY","2R02-020","2R02-20967","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,19,"MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,1,0,0,1
"Rensselaer County Planning Department","Troy","NY","2R02-037","2R02-20968","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Town of Montgomery","Montgomery","NY","2R02-046","2R02-20973","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,3,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"First Transit-Olean","Hudsonville","NY","2R02-061","2R02-20975","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Wyoming Transit Service","Warsaw","NY","2R02-052","2R02-20980","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,13,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Gloversville City Hall","Gloversville","NY","2R02-025","2R02-20981","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,6,"DR, MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,1,0,0,0,1
"Wayne Area Transportation Service","Lyons","NY","2R02-051","2R02-20983","Independent Public Agency or Authority of Transit Service","Rural Reporter",0,38,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"City of Port Jervis","Port Jervis","NY","2R02-012","2R02-20988","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,2,"DR","Maintenance Facility (Service and Inspection)",1,0,0,0,0,0,0,0,0,0,1
"Oneida County","Utica","NY","2R02-059","2R02-20990","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,11,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"St Lawrence County","Canton","NY","2R02-038","2R02-20991","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,20,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Franklin County Public Transportation","Malone","NY","2R02-024","2R02-20992","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,16,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Otsego County","Cooperstown","NY",NA,"2R02-20998","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,17,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Columbia County-NY","Hudson","NY",NA,"2R02-20999","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,4,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Yates County","Penn Yan","NY",NA,"2R02-21000","City, County or Local Government Unit or Department of Transportation","Rural Reporter",0,6,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"Kanawha Valley Regional Transportation Authority","Charleston","WV","3001","30001","Independent Public Agency or Authority of Transit Service","Full Reporter",153199,43,"DR, MB","Combined Administrative and Maintenance Facility",0,0,1,0,0,0,0,0,0,0,1
"Kanawha Valley Regional Transportation Authority","Charleston","WV","3001","30001","Independent Public Agency or Authority of Transit Service","Full Reporter",153199,43,"MB","Bus Transfer Center",0,0,1,0,0,1,0,0,0,0,2
"The Tri-State Transit Authority","Huntington","WV","3002","30002","Independent Public Agency or Authority of Transit Service","Full Reporter",202637,32,"DR, MB","Bus Transfer Center",0,0,0,0,0,0,1,0,0,0,1
"The Tri-State Transit Authority","Huntington","WV","3002","30002","Independent Public Agency or Authority of Transit Service","Full Reporter",202637,32,"DR, MB","Combined Administrative and Maintenance Facility",0,0,0,0,1,0,0,0,0,0,1
"The Tri-State Transit Authority","Huntington","WV","3002","30002","Independent Public Agency or Authority of Transit Service","Full Reporter",202637,32,"DR, MB","Other, Passenger or Parking",0,0,0,0,0,0,0,1,0,0,1
"The Tri-State Transit Authority","Huntington","WV","3002","30002","Independent Public Agency or Authority of Transit Service","Full Reporter",202637,32,"DR, MB","Surface Parking Lot",0,0,0,0,0,0,1,0,0,0,1
"Mid-Ohio Valley Transit Authority, dba: Easy Rider","Parkersburg","WV","3003","30003","Independent Public Agency or Authority of Transit Service","Reduced Reporter",67229,18,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,0,0,1,0,1
"Mid-Ohio Valley Transit Authority, dba: Easy Rider","Parkersburg","WV","3003","30003","Independent Public Agency or Authority of Transit Service","Reduced Reporter",67229,18,"MB","Bus Transfer Center",0,0,0,0,0,0,0,1,0,0,1
"Greater Richmond Transit Company","Richmond","VA","3006","30006","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",953556,330,"DR, MB, RB","Administrative Office / Sales Office",0,0,0,0,0,0,0,0,1,0,1
"Greater Richmond Transit Company","Richmond","VA","3006","30006","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",953556,330,"DR, MB, RB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,0,0,1,0,1
"Greater Roanoke Transit Company, dba: Valley Metro","Roanoke","VA","3007","30007","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",210111,54,"MB","Bus Transfer Center",0,0,0,0,0,1,0,0,0,0,1
"Greater Roanoke Transit Company, dba: Valley Metro","Roanoke","VA","3007","30007","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter",210111,54,"MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,1,0,0,0,0,1
"Greater Lynchburg Transit Company","Lynchburg","VA","3008","30008","Independent Public Agency or Authority of Transit Service","Full Reporter",116636,25,"DR, MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,0,1,0,1
"Greater Lynchburg Transit Company","Lynchburg","VA","3008","30008","Independent Public Agency or Authority of Transit Service","Full Reporter",116636,25,"MB","Bus Transfer Center",0,0,0,0,0,0,0,0,1,0,1
"City of Petersburg, dba: Petersburg Area Transit","Petersburg","VA","3009","30009","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",953556,18,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,1,0,0,0,0,1
"City of Petersburg, dba: Petersburg Area Transit","Petersburg","VA","3009","30009","City, County or Local Government Unit or Department of Transportation","Reduced Reporter",953556,18,"MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,0,1,0,1
"Lehigh and Northampton Transportation Authority","Allentown","PA","3010","30010","Independent Public Agency or Authority of Transit Service","Full Reporter",664651,160,"MB","Bus Transfer Center",0,0,0,0,0,0,0,2,1,0,3
"Lehigh and Northampton Transportation Authority","Allentown","PA","3010","30010","Independent Public Agency or Authority of Transit Service","Full Reporter",664651,160,"MB","Combined Administrative and Maintenance Facility",0,0,0,0,1,0,0,0,1,0,2
"Altoona Metro Transit, dba: AMTRAN","Altoona","PA","3011","30011","Independent Public Agency or Authority of Transit Service","Full Reporter",79930,34,"DR, MB","Combined Administrative and Maintenance Facility",1,0,0,0,0,0,0,0,0,0,1
"Altoona Metro Transit, dba: AMTRAN","Altoona","PA","3011","30011","Independent Public Agency or Authority of Transit Service","Full Reporter",79930,34,"DR, MB","Other, Administrative & Maintenance",0,0,0,0,0,0,0,1,0,0,1
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","3012","30012","Independent Public Agency or Authority of Transit Service","Full Reporter",69014,52,"DR","Combined Administrative and Maintenance Facility",0,0,0,1,0,0,0,0,0,0,1
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","3012","30012","Independent Public Agency or Authority of Transit Service","Full Reporter",69014,52,"DR","General Purpose Maintenance Facility/Depot",0,0,0,1,0,0,0,0,0,0,1
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","3012","30012","Independent Public Agency or Authority of Transit Service","Full Reporter",69014,52,"DR, MB","Bus Transfer Center",0,0,0,0,0,1,0,0,0,0,1
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","3012","30012","Independent Public Agency or Authority of Transit Service","Full Reporter",69014,52,"DR, MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,0,1,0,1
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","3012","30012","Independent Public Agency or Authority of Transit Service","Full Reporter",69014,52,"IP","At-Grade Fixed Guideway Station",1,0,0,0,0,0,0,0,0,0,1
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","3012","30012","Independent Public Agency or Authority of Transit Service","Full Reporter",69014,52,"IP","Simple At-Grade Platform Station",1,0,0,0,0,0,0,0,0,0,1
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","3012","30012","Independent Public Agency or Authority of Transit Service","Full Reporter",69014,52,"MB","Parking Structure",0,0,0,0,0,1,0,0,0,0,1
"Erie Metropolitan Transit Authority","Erie","PA","3013","30013","Independent Public Agency or Authority of Transit Service","Full Reporter",196611,107,"DR, MB","Administrative Office / Sales Office",0,0,0,0,0,0,0,0,1,0,1
"Erie Metropolitan Transit Authority","Erie","PA","3013","30013","Independent Public Agency or Authority of Transit Service","Full Reporter",196611,107,"DR, MB","Maintenance Facility (Service and Inspection)",0,0,0,0,0,0,0,0,1,0,1
"Erie Metropolitan Transit Authority","Erie","PA","3013","30013","Independent Public Agency or Authority of Transit Service","Full Reporter",196611,107,"MB","Bus Transfer Center",0,0,0,0,0,0,0,2,0,0,2
"Erie Metropolitan Transit Authority","Erie","PA","3013","30013","Independent Public Agency or Authority of Transit Service","Full Reporter",196611,107,"MB","General Purpose Maintenance Facility/Depot",0,0,0,0,0,0,0,0,1,0,1
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit","Harrisburg","PA","3014","30014","Independent Public Agency or Authority of Transit Service","Full Reporter",444474,120,"DR, MB","Combined Administrative and Maintenance Facility",1,0,0,0,0,0,0,0,0,0,1
"Luzerne County Transportation Authority","Kingston","PA","3015","30015","Independent Public Agency or Authority of Transit Service","Full Reporter",381502,69,"DR, MB","Combined Administrative and Maintenance Facility",0,0,0,0,0,0,0,1,0,0,1
"Luzerne County Transportation Authority","Kingston","PA","3015","30015","Independent Public Agency or Authority of Transit Service","Full Reporter",381502,69,"MB","Bus Transfer Center",0,0,0,0,0,0,0,1,0,0,1
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR","At-Grade Fixed Guideway Station",3,0,1,33,34,10,21,25,25,0,152
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR","Elevated Fixed Guideway Station",0,0,0,1,0,0,0,0,0,0,1
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR","Maintenance Facility (Service and Inspection)",0,0,1,0,0,2,2,0,0,0,5
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR","Other, Administrative & Maintenance",0,0,0,0,0,2,0,0,0,0,2
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR","Parking Structure",0,0,0,0,0,0,0,1,1,0,2
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR","Surface Parking Lot",0,0,0,0,0,10,22,66,17,0,115
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR","Underground Fixed Guideway Station",0,0,0,0,0,1,0,1,0,0,2
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR, HR","Maintenance Facility (Service and Inspection)",0,0,1,0,0,1,0,0,0,0,2
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"CR, MB","Other, Administrative & Maintenance",0,0,1,0,0,0,0,0,0,0,1
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"HR","At-Grade Fixed Guideway Station",0,0,0,0,0,2,10,1,10,0,23
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","3019","30019","Independent Public Agency or Authority of Transit Service","Full Reporter",5441567,2406,"HR","Elevated Fixed Guideway Station",0,0,0,0,0,1,6,12,0,0,19
